,0,1,2,3,4,5,6,7
0,"[(2, 62.0), (3, 58.0), (5, 62.0), (6, 60.0), (8, 61.0), (10, 62.0), (11, 65.0), (12, 61.0)]","[(1, 64.0), (6, 63.0), (7, 62.0), (9, 59.0), (10, 66.0), (11, 65.0)]","[(5, 58.0), (8, 58.0)]","[(4, 58.0), (5, 58.0), (6, 63.0), (8, 57.0), (12, 61.0)]","[(1, 55.0), (2, 59.0), (4, 65.0), (5, 62.0)]","[(1, 64.0), (6, 56.0), (7, 59.0), (10, 62.0)]","[(2, 58.0), (4, 61.0), (8, 59.0), (9, 49.0)]","[(2, 61.0), (4, 53.0), (5, 55.0), (11, 50.0)]"
1,"[(2, 43.0), (3, 45.0), (5, 55.0), (6, 49.0), (8, 44.0), (10, 44.0), (11, 48.0), (12, 47.0)]","[(1, 45.0), (6, 50.0), (7, 54.0), (9, 44.0), (10, 46.0), (11, 52.0)]","[(5, 56.0), (8, 57.0)]","[(4, 56.0), (5, 56.0), (6, 61.0), (8, 57.0), (12, 59.0)]","[(1, 54.0), (2, 57.0), (4, 64.0), (5, 61.0)]","[(1, 62.0), (6, 55.0), (7, 56.0), (10, 61.0)]","[(2, 55.0), (4, 58.0), (8, 57.0), (9, 43.0)]","[(2, 59.0), (4, 49.0), (5, 54.0), (11, 47.0)]"
2,"[(2, 63.0), (3, 62.0), (5, 65.0), (6, 67.0), (8, 60.0), (10, 63.0), (11, 62.0), (12, 66.0)]","[(1, 62.0), (6, 66.0), (7, 64.0), (9, 64.0), (10, 67.0), (11, 63.0)]","[(5, 57.0), (8, 57.0)]","[(4, 58.0), (5, 57.0), (6, 62.0), (8, 56.0), (12, 60.0)]","[(1, 55.0), (2, 58.0), (4, 64.0), (5, 61.0)]","[(1, 63.0), (6, 56.0), (7, 59.0), (10, 61.0)]","[(2, 53.0), (4, 56.0), (8, 54.0), (9, 42.0)]","[(2, 56.0), (4, 47.0), (5, 49.0), (11, 43.0)]"
3,"[(2, 39.0), (3, 37.0), (5, 49.0), (6, 41.0), (8, 38.0), (10, 39.0), (11, 44.0), (12, 40.0)]","[(1, 43.0), (6, 41.0), (7, 47.0), (9, 37.0), (10, 42.0), (11, 46.0)]","[(5, 57.0), (8, 57.0)]","[(4, 56.0), (5, 56.0), (6, 61.0), (8, 57.0), (12, 59.0)]","[(1, 54.0), (2, 57.0), (4, 63.0), (5, 62.0)]","[(1, 63.0), (6, 56.0), (7, 55.0), (10, 62.0)]","[(2, 56.0), (4, 59.0), (8, 57.0), (9, 45.0)]","[(2, 60.0), (4, 50.0), (5, 53.0), (11, 49.0)]"
4,"[(2, 67.0), (3, 69.0), (5, 68.0), (6, 72.0), (8, 66.0), (10, 70.0), (11, 70.0), (12, 72.0)]","[(1, 70.0), (6, 74.0), (7, 69.0), (9, 68.0), (10, 75.0), (11, 67.0)]","[(5, 57.0), (8, 56.0)]","[(4, 57.0), (5, 57.0), (6, 62.0), (8, 56.0), (12, 60.0)]","[(1, 54.0), (2, 58.0), (4, 64.0), (5, 61.0)]","[(1, 62.0), (6, 55.0), (7, 59.0), (10, 61.0)]","[(2, 58.0), (4, 60.0), (8, 57.0), (9, 49.0)]","[(2, 60.0), (4, 53.0), (5, 51.0), (11, 48.0)]"
5,"[(2, 42.0), (3, 46.0), (5, 53.0), (6, 49.0), (8, 39.0), (10, 44.0), (11, 45.0), (12, 49.0)]","[(1, 47.0), (6, 49.0), (7, 50.0), (9, 45.0), (10, 48.0), (11, 46.0)]","[(5, 56.0), (8, 57.0)]","[(4, 56.0), (5, 56.0), (6, 61.0), (8, 57.0), (12, 59.0)]","[(1, 54.0), (2, 57.0), (4, 63.0), (5, 62.0)]","[(1, 62.0), (6, 56.0), (7, 56.0), (10, 61.0)]","[(2, 55.0), (4, 57.0), (8, 56.0), (9, 45.0)]","[(2, 58.0), (4, 49.0), (5, 51.0), (11, 47.0)]"
6,"[(2, 56.0), (3, 52.0), (5, 60.0), (6, 55.0), (8, 54.0), (10, 55.0), (11, 58.0), (12, 56.0)]","[(1, 57.0), (6, 58.0), (7, 58.0), (9, 53.0), (10, 58.0), (11, 61.0)]","[(5, 58.0), (8, 58.0)]","[(4, 58.0), (5, 57.0), (6, 62.0), (8, 57.0), (12, 60.0)]","[(1, 55.0), (2, 58.0), (4, 65.0), (5, 62.0)]","[(1, 63.0), (6, 56.0), (7, 58.0), (10, 62.0)]","[(2, 59.0), (4, 62.0), (8, 60.0), (9, 50.0)]","[(2, 62.0), (4, 53.0), (5, 55.0), (11, 52.0)]"
7,"[(2, 57.0), (3, 53.0), (5, 62.0), (6, 55.0), (8, 57.0), (10, 58.0), (11, 61.0), (12, 59.0)]","[(1, 59.0), (6, 58.0), (7, 57.0), (9, 53.0), (10, 62.0), (11, 61.0)]","[(5, 58.0), (8, 58.0)]","[(4, 58.0), (5, 58.0), (6, 63.0), (8, 57.0), (12, 60.0)]","[(1, 55.0), (2, 59.0), (4, 65.0), (5, 62.0)]","[(1, 64.0), (6, 56.0), (7, 59.0), (10, 62.0)]","[(2, 56.0), (4, 59.0), (8, 57.0), (9, 46.0)]","[(2, 59.0), (4, 51.0), (5, 53.0), (11, 48.0)]"
8,"[(2, 57.0), (3, 53.0), (5, 61.0), (6, 56.0), (8, 55.0), (10, 56.0), (11, 59.0), (12, 56.0)]","[(1, 58.0), (6, 57.0), (7, 56.0), (9, 53.0), (10, 61.0), (11, 58.0)]","[(5, 57.0), (8, 57.0)]","[(4, 57.0), (5, 57.0), (6, 62.0), (8, 57.0), (12, 60.0)]","[(1, 54.0), (2, 58.0), (4, 64.0), (5, 61.0)]","[(1, 63.0), (6, 55.0), (7, 58.0), (10, 62.0)]","[(2, 58.0), (4, 60.0), (8, 59.0), (9, 50.0)]","[(2, 61.0), (4, 52.0), (5, 54.0), (11, 52.0)]"
9,"[(2, 68.0), (3, 60.0), (5, 66.0), (6, 65.0), (8, 66.0), (10, 67.0), (11, 69.0), (12, 65.0)]","[(1, 67.0), (6, 70.0), (7, 68.0), (9, 62.0), (10, 72.0), (11, 71.0)]","[(5, 57.0), (8, 56.0)]","[(4, 57.0), (5, 57.0), (6, 62.0), (8, 57.0), (12, 60.0)]","[(1, 55.0), (2, 58.0), (4, 64.0), (5, 61.0)]","[(1, 63.0), (6, 55.0), (7, 59.0), (10, 62.0)]","[(2, 57.0), (4, 59.0), (8, 57.0), (9, 49.0)]","[(2, 59.0), (4, 51.0), (5, 51.0), (11, 48.0)]"
