Unnamed: 0,beat,pitch,beat_pitch,midi
0,"[[1, 3, 4, 5, 7, 8, 9, 10], [1, 3, 4, 5, 7, 8, 9, 11], [1, 3, 4, 5, 7, 8, 9, 10, 11, 12], [1, 3, 4, 5, 6, 7, 8, 9, 11, 12], [1, 2, 3, 5, 7, 8, 9, 11, 12], [1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 12], [1, 2, 3, 5, 7, 8, 9, 11, 12], [1, 3, 5, 6, 7, 8, 9, 11, 12]]","[[75, 74, 73, 69, 67, 73, 69, 74], [75, 74, 71, 69, 71, 74, 76, 78], [75, 75, 79, 81, 81, 79, 81, 83, 84, 84], [75, 74, 72, 70, 74, 78, 76, 78, 78, 74], [75, 74, 73, 74, 76, 79, 81, 79, 77], [75, 74, 72, 76, 78, 69, 65, 69, 71, 67, 71], [75, 74, 73, 69, 69, 67, 69, 71, 69], [75, 74, 74, 72, 74, 78, 81, 79, 77]]","[[(1, 75), (3, 74), (4, 73), (5, 69), (7, 67), (8, 73), (9, 69), (10, 74)], [(1, 75), (3, 74), (4, 71), (5, 69), (7, 71), (8, 74), (9, 76), (11, 78)], [(1, 75), (3, 75), (4, 79), (5, 81), (7, 81), (8, 79), (9, 81), (10, 83), (11, 84), (12, 84)], [(1, 75), (3, 74), (4, 72), (5, 70), (6, 74), (7, 78), (8, 76), (9, 78), (11, 78), (12, 74)], [(1, 75), (2, 74), (3, 73), (5, 74), (7, 76), (8, 79), (9, 81), (11, 79), (12, 77)], [(1, 75), (2, 74), (3, 72), (4, 76), (5, 78), (6, 69), (7, 65), (8, 69), (9, 71), (11, 67), (12, 71)], [(1, 75), (2, 74), (3, 73), (5, 69), (7, 69), (8, 67), (9, 69), (11, 71), (12, 69)], [(1, 75), (3, 74), (5, 74), (6, 72), (7, 74), (8, 78), (9, 81), (11, 79), (12, 77)]]",markov_midis\markov_song_0.mid
1,"[[1, 2, 3, 4, 5, 7, 9], [1, 2, 3, 4, 5, 7, 8, 9, 11], [1, 3, 4, 5, 7, 8, 9], [1, 3, 4, 5, 6, 7, 8, 9], [1, 3, 4, 5, 7, 8, 9], [1, 3, 4, 5, 7, 8, 9], [1, 3, 4, 5, 7, 8, 9], [1, 3, 4, 5, 7, 8, 9, 11]]","[[77, 76, 78, 74, 76, 74, 72], [77, 76, 74, 78, 79, 78, 76, 74, 76], [77, 76, 73, 72, 72, 69, 71], [77, 77, 72, 74, 73, 71, 67, 71], [77, 76, 78, 74, 77, 81, 81], [77, 77, 79, 81, 79, 74, 72], [77, 76, 73, 74, 74, 72, 70], [77, 77, 79, 76, 72, 69, 67, 70]]","[[(1, 77), (2, 76), (3, 78), (4, 74), (5, 76), (7, 74), (9, 72)], [(1, 77), (2, 76), (3, 74), (4, 78), (5, 79), (7, 78), (8, 76), (9, 74), (11, 76)], [(1, 77), (3, 76), (4, 73), (5, 72), (7, 72), (8, 69), (9, 71)], [(1, 77), (3, 77), (4, 72), (5, 74), (6, 73), (7, 71), (8, 67), (9, 71)], [(1, 77), (3, 76), (4, 78), (5, 74), (7, 77), (8, 81), (9, 81)], [(1, 77), (3, 77), (4, 79), (5, 81), (7, 79), (8, 74), (9, 72)], [(1, 77), (3, 76), (4, 73), (5, 74), (7, 74), (8, 72), (9, 70)], [(1, 77), (3, 77), (4, 79), (5, 76), (7, 72), (8, 69), (9, 67), (11, 70)]]",markov_midis\markov_song_1.mid
2,"[[1, 4, 5, 9], [1, 3, 4, 5, 9], [1, 3, 4, 5, 9, 11], [1, 3, 4, 5, 9, 11, 12], [1, 2, 3, 4, 5, 8, 9, 11, 12], [1, 2, 3, 4, 5, 9, 11], [1, 2, 3, 4, 5, 7, 8, 9, 11], [1, 2, 3, 5, 6, 7, 8, 9, 11]]","[[69, 74, 74, 76], [69, 68, 71, 69, 62], [69, 67, 69, 72, 76, 78], [69, 67, 69, 71, 69, 67, 69], [69, 66, 67, 65, 64, 72, 71, 71, 69], [69, 65, 69, 72, 74, 76, 72], [69, 70, 72, 70, 74, 76, 79, 69, 69], [69, 72, 70, 69, 65, 64, 67, 69, 67]]","[[(1, 69), (4, 74), (5, 74), (9, 76)], [(1, 69), (3, 68), (4, 71), (5, 69), (9, 62)], [(1, 69), (3, 67), (4, 69), (5, 72), (9, 76), (11, 78)], [(1, 69), (3, 67), (4, 69), (5, 71), (9, 69), (11, 67), (12, 69)], [(1, 69), (2, 66), (3, 67), (4, 65), (5, 64), (8, 72), (9, 71), (11, 71), (12, 69)], [(1, 69), (2, 65), (3, 69), (4, 72), (5, 74), (9, 76), (11, 72)], [(1, 69), (2, 70), (3, 72), (4, 70), (5, 74), (7, 76), (8, 79), (9, 69), (11, 69)], [(1, 69), (2, 72), (3, 70), (5, 69), (6, 65), (7, 64), (8, 67), (9, 69), (11, 67)]]",markov_midis\markov_song_2.mid
3,"[[1, 3, 4, 5, 6, 7, 9], [1, 2, 3, 4, 5, 7, 9], [1, 2, 3, 4, 5, 6, 7, 8, 9], [1, 3, 4, 5, 6, 7, 9], [1, 3, 4, 5, 7, 9], [1, 2, 3, 4, 5, 7, 8, 9], [1, 2, 3, 4, 5, 7, 8, 9, 11, 12], [1, 3, 4, 5, 7, 9, 11, 12]]","[[67, 66, 69, 70, 72, 71, 69], [67, 66, 67, 66, 67, 67, 76], [67, 70, 74, 73, 73, 74, 72, 76, 74], [67, 67, 71, 69, 66, 62, 62], [67, 72, 77, 79, 82, 81], [67, 71, 73, 76, 78, 78, 79, 77], [67, 72, 66, 64, 62, 64, 66, 64, 62, 60], [67, 70, 74, 72, 72, 71, 69, 67]]","[[(1, 67), (3, 66), (4, 69), (5, 70), (6, 72), (7, 71), (9, 69)], [(1, 67), (2, 66), (3, 67), (4, 66), (5, 67), (7, 67), (9, 76)], [(1, 67), (2, 70), (3, 74), (4, 73), (5, 73), (6, 74), (7, 72), (8, 76), (9, 74)], [(1, 67), (3, 67), (4, 71), (5, 69), (6, 66), (7, 62), (9, 62)], [(1, 67), (3, 72), (4, 77), (5, 79), (7, 82), (9, 81)], [(1, 67), (2, 71), (3, 73), (4, 76), (5, 78), (7, 78), (8, 79), (9, 77)], [(1, 67), (2, 72), (3, 66), (4, 64), (5, 62), (7, 64), (8, 66), (9, 64), (11, 62), (12, 60)], [(1, 67), (3, 70), (4, 74), (5, 72), (7, 72), (9, 71), (11, 69), (12, 67)]]",markov_midis\markov_song_3.mid
4,"[[1, 2, 3, 4, 5, 7, 8, 9], [1, 2, 3, 4, 5, 6, 7, 9], [1, 2, 3, 4, 5, 7, 9, 11], [1, 2, 3, 4, 5, 7, 9, 11], [1, 2, 3, 4, 5, 7, 9], [1, 3, 4, 5, 7, 9], [1, 3, 4, 5, 7, 9, 10], [1, 3, 4, 5, 7, 8, 9, 10, 11]]","[[72, 74, 78, 74, 72, 69, 70, 82], [72, 74, 72, 71, 69, 70, 72, 72], [72, 70, 69, 71, 72, 77, 77, 74], [72, 74, 75, 79, 79, 74, 73, 69], [72, 74, 64, 62, 63, 62, 58], [72, 71, 74, 70, 62, 64], [72, 74, 76, 78, 79, 76, 79], [72, 71, 69, 70, 74, 77, 77, 76, 74]]","[[(1, 72), (2, 74), (3, 78), (4, 74), (5, 72), (7, 69), (8, 70), (9, 82)], [(1, 72), (2, 74), (3, 72), (4, 71), (5, 69), (6, 70), (7, 72), (9, 72)], [(1, 72), (2, 70), (3, 69), (4, 71), (5, 72), (7, 77), (9, 77), (11, 74)], [(1, 72), (2, 74), (3, 75), (4, 79), (5, 79), (7, 74), (9, 73), (11, 69)], [(1, 72), (2, 74), (3, 64), (4, 62), (5, 63), (7, 62), (9, 58)], [(1, 72), (3, 71), (4, 74), (5, 70), (7, 62), (9, 64)], [(1, 72), (3, 74), (4, 76), (5, 78), (7, 79), (9, 76), (10, 79)], [(1, 72), (3, 71), (4, 69), (5, 70), (7, 74), (8, 77), (9, 77), (10, 76), (11, 74)]]",markov_midis\markov_song_4.mid
5,"[[1, 3, 4, 5, 9], [1, 3, 4, 5, 7, 9], [1, 3, 4, 5, 7, 8, 9], [1, 3, 4, 5, 6, 7, 8, 9], [1, 3, 4, 5, 6, 7, 8, 9, 11, 12], [1, 3, 4, 5, 6, 7, 8, 9], [1, 3, 4, 5, 7, 9], [1, 3, 4, 5, 7, 8, 9, 10]]","[[74, 74, 77, 74, 62], [74, 74, 74, 69, 67, 65], [74, 73, 71, 72, 76, 78, 79], [74, 75, 72, 74, 69, 71, 74, 76], [74, 74, 76, 76, 72, 77, 76, 69, 67, 67], [74, 74, 72, 65, 64, 66, 67, 72], [74, 76, 73, 74, 73, 74], [74, 74, 78, 79, 76, 79, 77, 74]]","[[(1, 74), (3, 74), (4, 77), (5, 74), (9, 62)], [(1, 74), (3, 74), (4, 74), (5, 69), (7, 67), (9, 65)], [(1, 74), (3, 73), (4, 71), (5, 72), (7, 76), (8, 78), (9, 79)], [(1, 74), (3, 75), (4, 72), (5, 74), (6, 69), (7, 71), (8, 74), (9, 76)], [(1, 74), (3, 74), (4, 76), (5, 76), (6, 72), (7, 77), (8, 76), (9, 69), (11, 67), (12, 67)], [(1, 74), (3, 74), (4, 72), (5, 65), (6, 64), (7, 66), (8, 67), (9, 72)], [(1, 74), (3, 76), (4, 73), (5, 74), (7, 73), (9, 74)], [(1, 74), (3, 74), (4, 78), (5, 79), (7, 76), (8, 79), (9, 77), (10, 74)]]",markov_midis\markov_song_5.mid
6,"[[1, 5, 6, 7, 9, 11, 12], [1, 5, 7, 8, 9, 11, 12], [1, 2, 3, 5, 6, 7, 8, 9, 11, 12], [1, 2, 3, 4, 5, 6, 7, 9, 11, 12], [1, 2, 3, 4, 5, 11, 12], [1, 3, 4, 5, 9, 11, 12], [1, 3, 4, 5, 6, 7, 9, 11, 12], [1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]]","[[70, 67, 69, 71, 68, 66, 67], [70, 65, 69, 68, 69, 71, 69], [70, 69, 67, 71, 74, 76, 74, 76, 79, 78], [70, 69, 67, 66, 66, 67, 66, 64, 79, 79], [70, 72, 76, 79, 79, 77, 79], [70, 82, 79, 78, 74, 76, 77], [70, 82, 79, 81, 80, 83, 71, 74, 73], [70, 69, 72, 74, 72, 71, 72, 74, 72, 70, 69]]","[[(1, 70), (5, 67), (6, 69), (7, 71), (9, 68), (11, 66), (12, 67)], [(1, 70), (5, 65), (7, 69), (8, 68), (9, 69), (11, 71), (12, 69)], [(1, 70), (2, 69), (3, 67), (5, 71), (6, 74), (7, 76), (8, 74), (9, 76), (11, 79), (12, 78)], [(1, 70), (2, 69), (3, 67), (4, 66), (5, 66), (6, 67), (7, 66), (9, 64), (11, 79), (12, 79)], [(1, 70), (2, 72), (3, 76), (4, 79), (5, 79), (11, 77), (12, 79)], [(1, 70), (3, 82), (4, 79), (5, 78), (9, 74), (11, 76), (12, 77)], [(1, 70), (3, 82), (4, 79), (5, 81), (6, 80), (7, 83), (9, 71), (11, 74), (12, 73)], [(1, 70), (3, 69), (4, 72), (5, 74), (6, 72), (7, 71), (8, 72), (9, 74), (10, 72), (11, 70), (12, 69)]]",markov_midis\markov_song_6.mid
7,"[[1, 3, 4, 5, 7, 8, 9], [1, 3, 5, 7, 8, 9], [1, 3, 5, 7, 8, 9], [1, 3, 5, 7, 9], [1, 3, 5, 6, 7, 8, 9], [1, 3, 4, 5, 7, 8, 9], [1, 3, 4, 5, 7, 8, 9, 11, 12], [1, 3, 5, 7, 8, 9, 11, 12]]","[[81, 81, 77, 76, 76, 79, 79], [81, 79, 79, 81, 78, 79], [81, 79, 79, 74, 72, 70], [81, 81, 76, 77, 79], [81, 81, 78, 74, 71, 69, 67], [81, 78, 79, 81, 81, 78, 76], [81, 79, 81, 79, 79, 72, 71, 69, 67], [81, 81, 81, 81, 84, 83, 79, 74]]","[[(1, 81), (3, 81), (4, 77), (5, 76), (7, 76), (8, 79), (9, 79)], [(1, 81), (3, 79), (5, 79), (7, 81), (8, 78), (9, 79)], [(1, 81), (3, 79), (5, 79), (7, 74), (8, 72), (9, 70)], [(1, 81), (3, 81), (5, 76), (7, 77), (9, 79)], [(1, 81), (3, 81), (5, 78), (6, 74), (7, 71), (8, 69), (9, 67)], [(1, 81), (3, 78), (4, 79), (5, 81), (7, 81), (8, 78), (9, 76)], [(1, 81), (3, 79), (4, 81), (5, 79), (7, 79), (8, 72), (9, 71), (11, 69), (12, 67)], [(1, 81), (3, 81), (5, 81), (7, 81), (8, 84), (9, 83), (11, 79), (12, 74)]]",markov_midis\markov_song_7.mid
8,"[[1, 3, 4, 5, 8, 9, 10, 11], [1, 3, 4, 5, 7, 8, 9, 11], [1, 3, 4, 5, 6, 7, 8, 9, 11, 12], [1, 2, 3, 4, 5, 6, 7, 9, 11, 12], [1, 3, 4, 5, 6, 7, 9, 11, 12], [1, 3, 4, 5, 6, 7, 9, 11, 12], [1, 3, 4, 5, 6, 7, 9, 11, 12], [1, 2, 3, 4, 5, 6, 7, 9, 11]]","[[78, 76, 73, 69, 67, 69, 73, 71], [78, 76, 73, 76, 75, 76, 75, 70], [78, 78, 76, 77, 76, 77, 79, 81, 79, 81], [78, 76, 74, 77, 76, 74, 78, 78, 76, 72], [78, 74, 76, 77, 79, 78, 78, 81, 77], [78, 76, 73, 74, 77, 76, 76, 79, 78], [78, 79, 83, 81, 79, 76, 74, 72, 71], [78, 76, 74, 73, 74, 72, 71, 71, 69]]","[[(1, 78), (3, 76), (4, 73), (5, 69), (8, 67), (9, 69), (10, 73), (11, 71)], [(1, 78), (3, 76), (4, 73), (5, 76), (7, 75), (8, 76), (9, 75), (11, 70)], [(1, 78), (3, 78), (4, 76), (5, 77), (6, 76), (7, 77), (8, 79), (9, 81), (11, 79), (12, 81)], [(1, 78), (2, 76), (3, 74), (4, 77), (5, 76), (6, 74), (7, 78), (9, 78), (11, 76), (12, 72)], [(1, 78), (3, 74), (4, 76), (5, 77), (6, 79), (7, 78), (9, 78), (11, 81), (12, 77)], [(1, 78), (3, 76), (4, 73), (5, 74), (6, 77), (7, 76), (9, 76), (11, 79), (12, 78)], [(1, 78), (3, 79), (4, 83), (5, 81), (6, 79), (7, 76), (9, 74), (11, 72), (12, 71)], [(1, 78), (2, 76), (3, 74), (4, 73), (5, 74), (6, 72), (7, 71), (9, 71), (11, 69)]]",markov_midis\markov_song_8.mid
9,"[[1, 3, 5, 6, 7, 9], [1, 3, 4, 5, 6, 7, 8, 9], [1, 2, 3, 4, 5, 6, 7, 8, 9, 10], [1, 2, 3, 4, 5, 7, 8, 9, 10, 11, 12], [1, 2, 3, 4, 5, 7, 9, 10], [1, 2, 3, 4, 5, 7, 9, 10, 11], [1, 2, 3, 4, 5, 7, 8, 9, 10, 11, 12], [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]]","[[69, 81, 81, 78, 79, 74], [69, 74, 78, 81, 79, 81, 72, 74], [69, 70, 69, 70, 67, 66, 69, 66, 74, 73], [69, 71, 69, 68, 69, 71, 69, 67, 66, 67, 70], [69, 71, 73, 72, 60, 65, 62, 66], [69, 71, 69, 71, 72, 71, 74, 76, 77], [69, 74, 78, 79, 79, 79, 77, 72, 71, 72, 69], [69, 72, 71, 74, 76, 79, 77, 79, 79, 78, 76, 79]]","[[(1, 69), (3, 81), (5, 81), (6, 78), (7, 79), (9, 74)], [(1, 69), (3, 74), (4, 78), (5, 81), (6, 79), (7, 81), (8, 72), (9, 74)], [(1, 69), (2, 70), (3, 69), (4, 70), (5, 67), (6, 66), (7, 69), (8, 66), (9, 74), (10, 73)], [(1, 69), (2, 71), (3, 69), (4, 68), (5, 69), (7, 71), (8, 69), (9, 67), (10, 66), (11, 67), (12, 70)], [(1, 69), (2, 71), (3, 73), (4, 72), (5, 60), (7, 65), (9, 62), (10, 66)], [(1, 69), (2, 71), (3, 69), (4, 71), (5, 72), (7, 71), (9, 74), (10, 76), (11, 77)], [(1, 69), (2, 74), (3, 78), (4, 79), (5, 79), (7, 79), (8, 77), (9, 72), (10, 71), (11, 72), (12, 69)], [(1, 69), (2, 72), (3, 71), (4, 74), (5, 76), (6, 79), (7, 77), (8, 79), (9, 79), (10, 78), (11, 76), (12, 79)]]",markov_midis\markov_song_9.mid
