,id,beats,pitches,tuple_beat_and_pitch,midi
0,0,"[[2, 3, 5, 6, 8, 10, 11, 12], [1, 6, 7, 9, 10, 11], [5, 8], [4, 5, 6, 8, 12], [1, 2, 4, 5], [1, 6, 7, 10], [2, 4, 8, 9], [2, 4, 5, 11]]","[[62, 58, 62, 60, 61, 62, 65, 61], [64, 63, 62, 59, 66, 65], [58, 58], [58, 58, 63, 57, 61], [55, 59, 65, 62], [64, 56, 59, 62], [58, 61, 59, 49], [61, 53, 55, 50]]","[[(2, 62), (3, 58), (5, 62), (6, 60), (8, 61), (10, 62), (11, 65), (12, 61)], [(1, 64), (6, 63), (7, 62), (9, 59), (10, 66), (11, 65)], [(5, 58), (8, 58)], [(4, 58), (5, 58), (6, 63), (8, 57), (12, 61)], [(1, 55), (2, 59), (4, 65), (5, 62)], [(1, 64), (6, 56), (7, 59), (10, 62)], [(2, 58), (4, 61), (8, 59), (9, 49)], [(2, 61), (4, 53), (5, 55), (11, 50)]]",lstm_midis/lstm_song0.mid
1,1,"[[2, 3, 5, 6, 8, 10, 11, 12], [1, 6, 7, 9, 10, 11], [5, 8], [4, 5, 6, 8, 12], [1, 2, 4, 5], [1, 6, 7, 10], [2, 4, 8, 9], [2, 4, 5, 11]]","[[43, 45, 55, 49, 44, 44, 48, 47], [45, 50, 54, 44, 46, 52], [56, 57], [56, 56, 61, 57, 59], [54, 57, 64, 61], [62, 55, 56, 61], [55, 58, 57, 43], [59, 49, 54, 47]]","[[(2, 43), (3, 45), (5, 55), (6, 49), (8, 44), (10, 44), (11, 48), (12, 47)], [(1, 45), (6, 50), (7, 54), (9, 44), (10, 46), (11, 52)], [(5, 56), (8, 57)], [(4, 56), (5, 56), (6, 61), (8, 57), (12, 59)], [(1, 54), (2, 57), (4, 64), (5, 61)], [(1, 62), (6, 55), (7, 56), (10, 61)], [(2, 55), (4, 58), (8, 57), (9, 43)], [(2, 59), (4, 49), (5, 54), (11, 47)]]",lstm_midis/lstm_song1.mid
2,2,"[[2, 3, 5, 6, 8, 10, 11, 12], [1, 6, 7, 9, 10, 11], [5, 8], [4, 5, 6, 8, 12], [1, 2, 4, 5], [1, 6, 7, 10], [2, 4, 8, 9], [2, 4, 5, 11]]","[[63, 62, 65, 67, 60, 63, 62, 66], [62, 66, 64, 64, 67, 63], [57, 57], [58, 57, 62, 56, 60], [55, 58, 64, 61], [63, 56, 59, 61], [53, 56, 54, 42], [56, 47, 49, 43]]","[[(2, 63), (3, 62), (5, 65), (6, 67), (8, 60), (10, 63), (11, 62), (12, 66)], [(1, 62), (6, 66), (7, 64), (9, 64), (10, 67), (11, 63)], [(5, 57), (8, 57)], [(4, 58), (5, 57), (6, 62), (8, 56), (12, 60)], [(1, 55), (2, 58), (4, 64), (5, 61)], [(1, 63), (6, 56), (7, 59), (10, 61)], [(2, 53), (4, 56), (8, 54), (9, 42)], [(2, 56), (4, 47), (5, 49), (11, 43)]]",lstm_midis/lstm_song2.mid
3,3,"[[2, 3, 5, 6, 8, 10, 11, 12], [1, 6, 7, 9, 10, 11], [5, 8], [4, 5, 6, 8, 12], [1, 2, 4, 5], [1, 6, 7, 10], [2, 4, 8, 9], [2, 4, 5, 11]]","[[39, 37, 49, 41, 38, 39, 44, 40], [43, 41, 47, 37, 42, 46], [57, 57], [56, 56, 61, 57, 59], [54, 57, 63, 62], [63, 56, 55, 62], [56, 59, 57, 45], [60, 50, 53, 49]]","[[(2, 39), (3, 37), (5, 49), (6, 41), (8, 38), (10, 39), (11, 44), (12, 40)], [(1, 43), (6, 41), (7, 47), (9, 37), (10, 42), (11, 46)], [(5, 57), (8, 57)], [(4, 56), (5, 56), (6, 61), (8, 57), (12, 59)], [(1, 54), (2, 57), (4, 63), (5, 62)], [(1, 63), (6, 56), (7, 55), (10, 62)], [(2, 56), (4, 59), (8, 57), (9, 45)], [(2, 60), (4, 50), (5, 53), (11, 49)]]",lstm_midis/lstm_song3.mid
4,4,"[[2, 3, 5, 6, 8, 10, 11, 12], [1, 6, 7, 9, 10, 11], [5, 8], [4, 5, 6, 8, 12], [1, 2, 4, 5], [1, 6, 7, 10], [2, 4, 8, 9], [2, 4, 5, 11]]","[[67, 69, 68, 72, 66, 70, 70, 72], [70, 74, 69, 68, 75, 67], [57, 56], [57, 57, 62, 56, 60], [54, 58, 64, 61], [62, 55, 59, 61], [58, 60, 57, 49], [60, 53, 51, 48]]","[[(2, 67), (3, 69), (5, 68), (6, 72), (8, 66), (10, 70), (11, 70), (12, 72)], [(1, 70), (6, 74), (7, 69), (9, 68), (10, 75), (11, 67)], [(5, 57), (8, 56)], [(4, 57), (5, 57), (6, 62), (8, 56), (12, 60)], [(1, 54), (2, 58), (4, 64), (5, 61)], [(1, 62), (6, 55), (7, 59), (10, 61)], [(2, 58), (4, 60), (8, 57), (9, 49)], [(2, 60), (4, 53), (5, 51), (11, 48)]]",lstm_midis/lstm_song4.mid
5,5,"[[2, 3, 5, 6, 8, 10, 11, 12], [1, 6, 7, 9, 10, 11], [5, 8], [4, 5, 6, 8, 12], [1, 2, 4, 5], [1, 6, 7, 10], [2, 4, 8, 9], [2, 4, 5, 11]]","[[42, 46, 53, 49, 39, 44, 45, 49], [47, 49, 50, 45, 48, 46], [56, 57], [56, 56, 61, 57, 59], [54, 57, 63, 62], [62, 56, 56, 61], [55, 57, 56, 45], [58, 49, 51, 47]]","[[(2, 42), (3, 46), (5, 53), (6, 49), (8, 39), (10, 44), (11, 45), (12, 49)], [(1, 47), (6, 49), (7, 50), (9, 45), (10, 48), (11, 46)], [(5, 56), (8, 57)], [(4, 56), (5, 56), (6, 61), (8, 57), (12, 59)], [(1, 54), (2, 57), (4, 63), (5, 62)], [(1, 62), (6, 56), (7, 56), (10, 61)], [(2, 55), (4, 57), (8, 56), (9, 45)], [(2, 58), (4, 49), (5, 51), (11, 47)]]",lstm_midis/lstm_song5.mid
6,6,"[[2, 3, 5, 6, 8, 10, 11, 12], [1, 6, 7, 9, 10, 11], [5, 8], [4, 5, 6, 8, 12], [1, 2, 4, 5], [1, 6, 7, 10], [2, 4, 8, 9], [2, 4, 5, 11]]","[[56, 52, 60, 55, 54, 55, 58, 56], [57, 58, 58, 53, 58, 61], [58, 58], [58, 57, 62, 57, 60], [55, 58, 65, 62], [63, 56, 58, 62], [59, 62, 60, 50], [62, 53, 55, 52]]","[[(2, 56), (3, 52), (5, 60), (6, 55), (8, 54), (10, 55), (11, 58), (12, 56)], [(1, 57), (6, 58), (7, 58), (9, 53), (10, 58), (11, 61)], [(5, 58), (8, 58)], [(4, 58), (5, 57), (6, 62), (8, 57), (12, 60)], [(1, 55), (2, 58), (4, 65), (5, 62)], [(1, 63), (6, 56), (7, 58), (10, 62)], [(2, 59), (4, 62), (8, 60), (9, 50)], [(2, 62), (4, 53), (5, 55), (11, 52)]]",lstm_midis/lstm_song6.mid
7,7,"[[2, 3, 5, 6, 8, 10, 11, 12], [1, 6, 7, 9, 10, 11], [5, 8], [4, 5, 6, 8, 12], [1, 2, 4, 5], [1, 6, 7, 10], [2, 4, 8, 9], [2, 4, 5, 11]]","[[57, 53, 62, 55, 57, 58, 61, 59], [59, 58, 57, 53, 62, 61], [58, 58], [58, 58, 63, 57, 60], [55, 59, 65, 62], [64, 56, 59, 62], [56, 59, 57, 46], [59, 51, 53, 48]]","[[(2, 57), (3, 53), (5, 62), (6, 55), (8, 57), (10, 58), (11, 61), (12, 59)], [(1, 59), (6, 58), (7, 57), (9, 53), (10, 62), (11, 61)], [(5, 58), (8, 58)], [(4, 58), (5, 58), (6, 63), (8, 57), (12, 60)], [(1, 55), (2, 59), (4, 65), (5, 62)], [(1, 64), (6, 56), (7, 59), (10, 62)], [(2, 56), (4, 59), (8, 57), (9, 46)], [(2, 59), (4, 51), (5, 53), (11, 48)]]",lstm_midis/lstm_song7.mid
8,8,"[[2, 3, 5, 6, 8, 10, 11, 12], [1, 6, 7, 9, 10, 11], [5, 8], [4, 5, 6, 8, 12], [1, 2, 4, 5], [1, 6, 7, 10], [2, 4, 8, 9], [2, 4, 5, 11]]","[[57, 53, 61, 56, 55, 56, 59, 56], [58, 57, 56, 53, 61, 58], [57, 57], [57, 57, 62, 57, 60], [54, 58, 64, 61], [63, 55, 58, 62], [58, 60, 59, 50], [61, 52, 54, 52]]","[[(2, 57), (3, 53), (5, 61), (6, 56), (8, 55), (10, 56), (11, 59), (12, 56)], [(1, 58), (6, 57), (7, 56), (9, 53), (10, 61), (11, 58)], [(5, 57), (8, 57)], [(4, 57), (5, 57), (6, 62), (8, 57), (12, 60)], [(1, 54), (2, 58), (4, 64), (5, 61)], [(1, 63), (6, 55), (7, 58), (10, 62)], [(2, 58), (4, 60), (8, 59), (9, 50)], [(2, 61), (4, 52), (5, 54), (11, 52)]]",lstm_midis/lstm_song8.mid
9,9,"[[2, 3, 5, 6, 8, 10, 11, 12], [1, 6, 7, 9, 10, 11], [5, 8], [4, 5, 6, 8, 12], [1, 2, 4, 5], [1, 6, 7, 10], [2, 4, 8, 9], [2, 4, 5, 11]]","[[68, 60, 66, 65, 66, 67, 69, 65], [67, 70, 68, 62, 72, 71], [57, 56], [57, 57, 62, 57, 60], [55, 58, 64, 61], [63, 55, 59, 62], [57, 59, 57, 49], [59, 51, 51, 48]]","[[(2, 68), (3, 60), (5, 66), (6, 65), (8, 66), (10, 67), (11, 69), (12, 65)], [(1, 67), (6, 70), (7, 68), (9, 62), (10, 72), (11, 71)], [(5, 57), (8, 56)], [(4, 57), (5, 57), (6, 62), (8, 57), (12, 60)], [(1, 55), (2, 58), (4, 64), (5, 61)], [(1, 63), (6, 55), (7, 59), (10, 62)], [(2, 57), (4, 59), (8, 57), (9, 49)], [(2, 59), (4, 51), (5, 51), (11, 48)]]",lstm_midis/lstm_song9.mid
10,10,"[[2, 3, 5, 6, 8, 10, 11, 12], [1, 6, 7, 9, 10, 11], [5, 8], [4, 5, 6, 8, 12], [1, 2, 4, 5], [1, 6, 7, 10], [2, 4, 8, 9], [2, 4, 5, 11]]","[[35, 33, 45, 39, 28, 33, 35, 38], [36, 38, 43, 35, 35, 40], [55, 57], [55, 54, 61, 56, 57], [52, 55, 62, 62], [62, 56, 53, 61], [54, 58, 55, 45], [58, 49, 51, 46]]","[[(2, 35), (3, 33), (5, 45), (6, 39), (8, 28), (10, 33), (11, 35), (12, 38)], [(1, 36), (6, 38), (7, 43), (9, 35), (10, 35), (11, 40)], [(5, 55), (8, 57)], [(4, 55), (5, 54), (6, 61), (8, 56), (12, 57)], [(1, 52), (2, 55), (4, 62), (5, 62)], [(1, 62), (6, 56), (7, 53), (10, 61)], [(2, 54), (4, 58), (8, 55), (9, 45)], [(2, 58), (4, 49), (5, 51), (11, 46)]]",lstm_midis/lstm_song10.mid
11,11,"[[2, 3, 5, 6, 8, 10, 11, 12], [1, 6, 7, 9, 10, 11], [5, 8], [4, 5, 6, 8, 12], [1, 2, 4, 5], [1, 6, 7, 10], [2, 4, 8, 9], [2, 4, 5, 11]]","[[63, 57, 65, 62, 59, 61, 63, 64], [60, 63, 62, 58, 65, 65], [57, 57], [58, 58, 62, 57, 60], [55, 59, 65, 61], [63, 55, 59, 62], [56, 58, 57, 46], [59, 50, 52, 48]]","[[(2, 63), (3, 57), (5, 65), (6, 62), (8, 59), (10, 61), (11, 63), (12, 64)], [(1, 60), (6, 63), (7, 62), (9, 58), (10, 65), (11, 65)], [(5, 57), (8, 57)], [(4, 58), (5, 58), (6, 62), (8, 57), (12, 60)], [(1, 55), (2, 59), (4, 65), (5, 61)], [(1, 63), (6, 55), (7, 59), (10, 62)], [(2, 56), (4, 58), (8, 57), (9, 46)], [(2, 59), (4, 50), (5, 52), (11, 48)]]",lstm_midis/lstm_song11.mid
12,12,"[[2, 3, 5, 6, 8, 10, 11, 12], [1, 6, 7, 9, 10, 11], [5, 8], [4, 5, 6, 8, 12], [1, 2, 4, 5], [1, 6, 7, 10], [2, 4, 8, 9], [2, 4, 5, 11]]","[[54, 51, 60, 54, 51, 52, 57, 56], [54, 56, 56, 51, 57, 57], [57, 58], [58, 57, 63, 57, 60], [55, 58, 65, 62], [63, 56, 58, 62], [56, 58, 57, 45], [59, 50, 53, 48]]","[[(2, 54), (3, 51), (5, 60), (6, 54), (8, 51), (10, 52), (11, 57), (12, 56)], [(1, 54), (6, 56), (7, 56), (9, 51), (10, 57), (11, 57)], [(5, 57), (8, 58)], [(4, 58), (5, 57), (6, 63), (8, 57), (12, 60)], [(1, 55), (2, 58), (4, 65), (5, 62)], [(1, 63), (6, 56), (7, 58), (10, 62)], [(2, 56), (4, 58), (8, 57), (9, 45)], [(2, 59), (4, 50), (5, 53), (11, 48)]]",lstm_midis/lstm_song12.mid
13,13,"[[2, 3, 5, 6, 8, 10, 11, 12], [1, 6, 7, 9, 10, 11], [5, 8], [4, 5, 6, 8, 12], [1, 2, 4, 5], [1, 6, 7, 10], [2, 4, 8, 9], [2, 4, 5, 11]]","[[63, 59, 66, 60, 61, 65, 66, 63], [64, 63, 65, 60, 66, 68], [58, 57], [58, 58, 62, 57, 60], [54, 59, 64, 62], [64, 56, 58, 62], [58, 60, 58, 49], [60, 53, 53, 49]]","[[(2, 63), (3, 59), (5, 66), (6, 60), (8, 61), (10, 65), (11, 66), (12, 63)], [(1, 64), (6, 63), (7, 65), (9, 60), (10, 66), (11, 68)], [(5, 58), (8, 57)], [(4, 58), (5, 58), (6, 62), (8, 57), (12, 60)], [(1, 54), (2, 59), (4, 64), (5, 62)], [(1, 64), (6, 56), (7, 58), (10, 62)], [(2, 58), (4, 60), (8, 58), (9, 49)], [(2, 60), (4, 53), (5, 53), (11, 49)]]",lstm_midis/lstm_song13.mid
14,14,"[[2, 3, 5, 6, 8, 10, 11, 12], [1, 6, 7, 9, 10, 11], [5, 8], [4, 5, 6, 8, 12], [1, 2, 4, 5], [1, 6, 7, 10], [2, 4, 8, 9], [2, 4, 5, 11]]","[[67, 63, 70, 70, 70, 69, 72, 69], [66, 69, 67, 66, 73, 70], [57, 57], [57, 56, 61, 56, 59], [54, 57, 63, 61], [62, 55, 58, 60], [56, 60, 56, 47], [60, 51, 51, 47]]","[[(2, 67), (3, 63), (5, 70), (6, 70), (8, 70), (10, 69), (11, 72), (12, 69)], [(1, 66), (6, 69), (7, 67), (9, 66), (10, 73), (11, 70)], [(5, 57), (8, 57)], [(4, 57), (5, 56), (6, 61), (8, 56), (12, 59)], [(1, 54), (2, 57), (4, 63), (5, 61)], [(1, 62), (6, 55), (7, 58), (10, 60)], [(2, 56), (4, 60), (8, 56), (9, 47)], [(2, 60), (4, 51), (5, 51), (11, 47)]]",lstm_midis/lstm_song14.mid
15,15,"[[2, 3, 5, 6, 8, 10, 11, 12], [1, 6, 7, 9, 10, 11], [5, 8], [4, 5, 6, 8, 12], [1, 2, 4, 5], [1, 6, 7, 10], [2, 4, 8, 9], [2, 4, 5, 11]]","[[53, 51, 61, 55, 53, 57, 58, 55], [57, 58, 59, 50, 62, 59], [57, 57], [57, 56, 62, 56, 59], [54, 57, 63, 62], [62, 56, 57, 61], [56, 59, 56, 47], [59, 51, 51, 47]]","[[(2, 53), (3, 51), (5, 61), (6, 55), (8, 53), (10, 57), (11, 58), (12, 55)], [(1, 57), (6, 58), (7, 59), (9, 50), (10, 62), (11, 59)], [(5, 57), (8, 57)], [(4, 57), (5, 56), (6, 62), (8, 56), (12, 59)], [(1, 54), (2, 57), (4, 63), (5, 62)], [(1, 62), (6, 56), (7, 57), (10, 61)], [(2, 56), (4, 59), (8, 56), (9, 47)], [(2, 59), (4, 51), (5, 51), (11, 47)]]",lstm_midis/lstm_song15.mid
