,beat,pitch,beat_pitch,midi
0,"[[1, 2, 3, 4, 5, 9, 11, 12], [1, 2, 3, 4, 5, 9], [1, 2, 3, 4, 5, 9, 11], [1, 3, 4, 5, 9, 11, 12], [1, 3, 5, 7, 9, 11, 12], [1, 3, 4, 5, 7, 9, 11, 12], [1, 3, 4, 5, 6, 7, 9, 11, 12], [1, 3, 4, 5, 6, 7, 8, 9, 11]]","[[79, 78, 79, 76, 74, 62, 65, 64], [79, 78, 83, 79, 78, 76], [79, 78, 76, 75, 77, 77, 74], [79, 71, 73, 74, 62, 71, 72], [79, 76, 77, 75, 76, 79, 78], [79, 78, 79, 77, 77, 76, 78, 74], [79, 83, 79, 74, 72, 70, 72, 74, 72], [79, 78, 79, 76, 67, 71, 74, 76, 74]]","[[(1, 79), (2, 78), (3, 79), (4, 76), (5, 74), (9, 62), (11, 65), (12, 64)], [(1, 79), (2, 78), (3, 83), (4, 79), (5, 78), (9, 76)], [(1, 79), (2, 78), (3, 76), (4, 75), (5, 77), (9, 77), (11, 74)], [(1, 79), (3, 71), (4, 73), (5, 74), (9, 62), (11, 71), (12, 72)], [(1, 79), (3, 76), (5, 77), (7, 75), (9, 76), (11, 79), (12, 78)], [(1, 79), (3, 78), (4, 79), (5, 77), (7, 77), (9, 76), (11, 78), (12, 74)], [(1, 79), (3, 83), (4, 79), (5, 74), (6, 72), (7, 70), (9, 72), (11, 74), (12, 72)], [(1, 79), (3, 78), (4, 79), (5, 76), (6, 67), (7, 71), (8, 74), (9, 76), (11, 74)]]",<music21.stream.Stream 0x1a3411a9730>
1,"[[1, 2, 3, 4, 5, 6, 7, 8, 9, 11], [1, 3, 4, 5, 6, 7, 8, 9], [1, 3, 4, 5, 7, 8, 9], [1, 3, 4, 5, 7, 8, 9, 10], [1, 3, 4, 5, 7, 8, 9], [1, 3, 5, 7, 8, 9], [1, 3, 4, 5, 7, 8, 9, 11], [1, 2, 3, 4, 5, 7, 8, 9]]","[[76, 78, 79, 83, 81, 80, 83, 81, 82, 81], [76, 81, 78, 79, 77, 79, 78, 78], [76, 72, 76, 74, 69, 72, 76], [76, 76, 78, 76, 76, 77, 79, 75], [76, 77, 79, 79, 76, 77, 77], [76, 74, 74, 72, 69, 62], [76, 76, 74, 76, 71, 72, 71, 72], [76, 74, 72, 76, 77, 76, 79, 81]]","[[(1, 76), (2, 78), (3, 79), (4, 83), (5, 81), (6, 80), (7, 83), (8, 81), (9, 82), (11, 81)], [(1, 76), (3, 81), (4, 78), (5, 79), (6, 77), (7, 79), (8, 78), (9, 78)], [(1, 76), (3, 72), (4, 76), (5, 74), (7, 69), (8, 72), (9, 76)], [(1, 76), (3, 76), (4, 78), (5, 76), (7, 76), (8, 77), (9, 79), (10, 75)], [(1, 76), (3, 77), (4, 79), (5, 79), (7, 76), (8, 77), (9, 77)], [(1, 76), (3, 74), (5, 74), (7, 72), (8, 69), (9, 62)], [(1, 76), (3, 76), (4, 74), (5, 76), (7, 71), (8, 72), (9, 71), (11, 72)], [(1, 76), (2, 74), (3, 72), (4, 76), (5, 77), (7, 76), (8, 79), (9, 81)]]",<music21.stream.Stream 0x1a3437130a0>
2,"[[1, 5, 6, 7, 8, 9, 11, 12], [1, 3, 5, 7, 8, 9, 11, 12], [1, 5, 7, 8, 9, 11, 12], [1, 3, 5, 7, 8, 9, 10, 11, 12], [1, 2, 3, 4, 5, 7, 8, 9, 10, 11, 12], [1, 3, 4, 5, 7, 9, 11, 12], [1, 3, 4, 5, 7, 9, 11], [1, 2, 3, 4, 5, 7, 9, 11]]","[[71, 72, 70, 69, 65, 57, 60, 57], [71, 68, 69, 67, 64, 62, 71, 74], [71, 76, 76, 72, 71, 69, 67], [71, 55, 67, 65, 67, 69, 72, 71, 69], [71, 73, 74, 76, 74, 72, 70, 69, 72, 70, 72], [71, 67, 66, 67, 69, 66, 64, 62], [71, 73, 74, 78, 78, 79, 82], [71, 72, 71, 68, 69, 74, 73, 76]]","[[(1, 71), (5, 72), (6, 70), (7, 69), (8, 65), (9, 57), (11, 60), (12, 57)], [(1, 71), (3, 68), (5, 69), (7, 67), (8, 64), (9, 62), (11, 71), (12, 74)], [(1, 71), (5, 76), (7, 76), (8, 72), (9, 71), (11, 69), (12, 67)], [(1, 71), (3, 55), (5, 67), (7, 65), (8, 67), (9, 69), (10, 72), (11, 71), (12, 69)], [(1, 71), (2, 73), (3, 74), (4, 76), (5, 74), (7, 72), (8, 70), (9, 69), (10, 72), (11, 70), (12, 72)], [(1, 71), (3, 67), (4, 66), (5, 67), (7, 69), (9, 66), (11, 64), (12, 62)], [(1, 71), (3, 73), (4, 74), (5, 78), (7, 78), (9, 79), (11, 82)], [(1, 71), (2, 72), (3, 71), (4, 68), (5, 69), (7, 74), (9, 73), (11, 76)]]",<music21.stream.Stream 0x1a34376c6a0>
3,"[[1, 4, 5, 6, 7, 8, 9, 11, 12], [1, 3, 4, 5, 6, 7, 9, 11, 12], [1, 2, 3, 4, 5, 7, 9, 11, 12], [1, 2, 3, 4, 5, 7, 8, 9, 11, 12], [1, 2, 3, 4, 5, 6, 7, 8, 9], [1, 2, 3, 4, 5, 6, 7, 8, 9], [1, 2, 3, 4, 5, 7, 8, 9, 11, 12], [1, 2, 3, 4, 5, 8, 9, 11]]","[[73, 71, 69, 65, 69, 72, 71, 67, 71], [73, 71, 69, 62, 65, 64, 64, 60, 57], [73, 74, 64, 66, 67, 69, 73, 69, 67], [73, 71, 68, 71, 72, 57, 60, 59, 57, 55], [73, 69, 71, 68, 69, 71, 72, 70, 69], [73, 74, 77, 81, 83, 79, 77, 74, 75], [73, 69, 67, 71, 71, 79, 74, 70, 69, 64], [73, 71, 74, 77, 76, 72, 71, 67]]","[[(1, 73), (4, 71), (5, 69), (6, 65), (7, 69), (8, 72), (9, 71), (11, 67), (12, 71)], [(1, 73), (3, 71), (4, 69), (5, 62), (6, 65), (7, 64), (9, 64), (11, 60), (12, 57)], [(1, 73), (2, 74), (3, 64), (4, 66), (5, 67), (7, 69), (9, 73), (11, 69), (12, 67)], [(1, 73), (2, 71), (3, 68), (4, 71), (5, 72), (7, 57), (8, 60), (9, 59), (11, 57), (12, 55)], [(1, 73), (2, 69), (3, 71), (4, 68), (5, 69), (6, 71), (7, 72), (8, 70), (9, 69)], [(1, 73), (2, 74), (3, 77), (4, 81), (5, 83), (6, 79), (7, 77), (8, 74), (9, 75)], [(1, 73), (2, 69), (3, 67), (4, 71), (5, 71), (7, 79), (8, 74), (9, 70), (11, 69), (12, 64)], [(1, 73), (2, 71), (3, 74), (4, 77), (5, 76), (8, 72), (9, 71), (11, 67)]]",<music21.stream.Stream 0x1a343760d30>
4,"[[1, 2, 3, 4, 5, 7, 9, 12], [1, 3, 4, 5, 7, 9], [1, 3, 4, 5, 7, 8, 9, 10], [1, 3, 4, 5, 7, 8, 9], [1, 3, 4, 5, 6, 7, 8, 9], [1, 5, 6, 7, 8, 9], [1, 3, 5, 6, 7, 8, 9, 11], [1, 3, 4, 5, 6, 7, 8, 9]]","[[79, 77, 75, 79, 75, 74, 74, 72], [79, 79, 74, 73, 74, 78], [79, 81, 79, 81, 79, 81, 82, 81], [79, 74, 76, 81, 79, 77, 70], [79, 80, 81, 82, 81, 79, 74, 69], [79, 72, 71, 69, 65, 62], [79, 81, 81, 79, 76, 79, 76, 72], [79, 76, 73, 74, 71, 73, 74, 72]]","[[(1, 79), (2, 77), (3, 75), (4, 79), (5, 75), (7, 74), (9, 74), (12, 72)], [(1, 79), (3, 79), (4, 74), (5, 73), (7, 74), (9, 78)], [(1, 79), (3, 81), (4, 79), (5, 81), (7, 79), (8, 81), (9, 82), (10, 81)], [(1, 79), (3, 74), (4, 76), (5, 81), (7, 79), (8, 77), (9, 70)], [(1, 79), (3, 80), (4, 81), (5, 82), (6, 81), (7, 79), (8, 74), (9, 69)], [(1, 79), (5, 72), (6, 71), (7, 69), (8, 65), (9, 62)], [(1, 79), (3, 81), (5, 81), (6, 79), (7, 76), (8, 79), (9, 76), (11, 72)], [(1, 79), (3, 76), (4, 73), (5, 74), (6, 71), (7, 73), (8, 74), (9, 72)]]",<music21.stream.Stream 0x1a3437efe50>
5,"[[1, 3, 4, 5, 7, 9], [1, 3, 4, 5, 7, 8, 9], [1, 3, 4, 5, 7, 8, 9, 11], [1, 4, 5, 7, 8, 9], [1, 3, 4, 5, 7, 8, 9], [1, 3, 4, 5, 7, 8, 9], [1, 3, 4, 5, 7, 8, 9, 11, 12], [1, 3, 4, 5, 7, 9]]","[[70, 69, 72, 72, 72, 76], [70, 69, 71, 69, 72, 76, 76], [70, 70, 69, 71, 71, 74, 73, 74], [70, 69, 69, 64, 66, 62], [70, 74, 73, 74, 76, 81, 79], [70, 82, 79, 76, 78, 76, 81], [70, 69, 70, 69, 69, 64, 61, 57, 55], [70, 69, 70, 69, 67, 71]]","[[(1, 70), (3, 69), (4, 72), (5, 72), (7, 72), (9, 76)], [(1, 70), (3, 69), (4, 71), (5, 69), (7, 72), (8, 76), (9, 76)], [(1, 70), (3, 70), (4, 69), (5, 71), (7, 71), (8, 74), (9, 73), (11, 74)], [(1, 70), (4, 69), (5, 69), (7, 64), (8, 66), (9, 62)], [(1, 70), (3, 74), (4, 73), (5, 74), (7, 76), (8, 81), (9, 79)], [(1, 70), (3, 82), (4, 79), (5, 76), (7, 78), (8, 76), (9, 81)], [(1, 70), (3, 69), (4, 70), (5, 69), (7, 69), (8, 64), (9, 61), (11, 57), (12, 55)], [(1, 70), (3, 69), (4, 70), (5, 69), (7, 67), (9, 71)]]",<music21.stream.Stream 0x1a3437b9b80>
6,"[[1, 2, 3, 5, 7, 9], [1, 2, 3, 5, 7, 9], [1, 3, 5, 7, 9], [1, 3, 4, 5, 7, 8, 9], [1, 2, 3, 4, 5, 7, 8, 9, 10], [1, 3, 4, 5, 7, 8, 9], [1, 4, 5, 7, 8, 9, 12], [1, 3, 4, 5, 7, 8, 9]]","[[79, 78, 81, 81, 79, 79], [79, 77, 79, 79, 78, 78], [79, 71, 69, 67, 66], [79, 76, 74, 77, 70, 67, 65], [79, 78, 74, 78, 83, 80, 76, 74, 73], [79, 77, 79, 77, 76, 73, 74], [79, 76, 71, 67, 69, 74, 72], [79, 76, 74, 71, 72, 74, 73]]","[[(1, 79), (2, 78), (3, 81), (5, 81), (7, 79), (9, 79)], [(1, 79), (2, 77), (3, 79), (5, 79), (7, 78), (9, 78)], [(1, 79), (3, 71), (5, 69), (7, 67), (9, 66)], [(1, 79), (3, 76), (4, 74), (5, 77), (7, 70), (8, 67), (9, 65)], [(1, 79), (2, 78), (3, 74), (4, 78), (5, 83), (7, 80), (8, 76), (9, 74), (10, 73)], [(1, 79), (3, 77), (4, 79), (5, 77), (7, 76), (8, 73), (9, 74)], [(1, 79), (4, 76), (5, 71), (7, 67), (8, 69), (9, 74), (12, 72)], [(1, 79), (3, 76), (4, 74), (5, 71), (7, 72), (8, 74), (9, 73)]]",<music21.stream.Stream 0x1a343828b50>
7,"[[1, 3, 4, 5, 6, 7, 8, 9], [1, 3, 5, 6, 7, 9], [1, 3, 5, 7, 9, 11], [1, 2, 3, 5, 7, 9, 11, 12], [1, 3, 5, 7, 9, 11, 12], [1, 3, 4, 5, 7, 8, 9, 11, 12], [1, 3, 4, 5, 7, 9, 11], [1, 2, 3, 4, 5, 7, 9, 11, 12]]","[[84, 82, 79, 76, 72, 77, 75, 74], [84, 86, 86, 84, 82, 82], [84, 84, 84, 81, 72, 69], [84, 82, 80, 83, 79, 76, 74, 72], [84, 81, 81, 79, 86, 81, 79], [84, 82, 81, 79, 78, 81, 79, 79, 79], [84, 76, 77, 79, 77, 76, 74], [84, 81, 82, 79, 81, 76, 74, 77, 79]]","[[(1, 84), (3, 82), (4, 79), (5, 76), (6, 72), (7, 77), (8, 75), (9, 74)], [(1, 84), (3, 86), (5, 86), (6, 84), (7, 82), (9, 82)], [(1, 84), (3, 84), (5, 84), (7, 81), (9, 72), (11, 69)], [(1, 84), (2, 82), (3, 80), (5, 83), (7, 79), (9, 76), (11, 74), (12, 72)], [(1, 84), (3, 81), (5, 81), (7, 79), (9, 86), (11, 81), (12, 79)], [(1, 84), (3, 82), (4, 81), (5, 79), (7, 78), (8, 81), (9, 79), (11, 79), (12, 79)], [(1, 84), (3, 76), (4, 77), (5, 79), (7, 77), (9, 76), (11, 74)], [(1, 84), (2, 81), (3, 82), (4, 79), (5, 81), (7, 76), (9, 74), (11, 77), (12, 79)]]",<music21.stream.Stream 0x1a343782100>
8,"[[1, 3, 4, 5, 7, 8, 9], [1, 3, 4, 5, 6, 7, 8, 9], [1, 3, 4, 5, 7, 8, 9], [1, 3, 4, 5, 7, 8, 9, 11, 12], [1, 3, 4, 5, 7, 8, 9, 11, 12], [1, 3, 4, 5, 7, 8, 9], [1, 3, 4, 5, 7, 9, 10], [1, 3, 4, 5, 6, 7, 9]]","[[79, 71, 69, 64, 76, 77, 77], [79, 78, 81, 77, 79, 76, 74, 76], [79, 78, 76, 78, 76, 77, 74], [79, 75, 76, 76, 69, 65, 62, 71, 72], [79, 78, 79, 81, 81, 78, 76, 76, 78], [79, 77, 79, 78, 81, 77, 75], [79, 79, 69, 74, 72, 74, 72], [79, 77, 81, 82, 77, 81, 81]]","[[(1, 79), (3, 71), (4, 69), (5, 64), (7, 76), (8, 77), (9, 77)], [(1, 79), (3, 78), (4, 81), (5, 77), (6, 79), (7, 76), (8, 74), (9, 76)], [(1, 79), (3, 78), (4, 76), (5, 78), (7, 76), (8, 77), (9, 74)], [(1, 79), (3, 75), (4, 76), (5, 76), (7, 69), (8, 65), (9, 62), (11, 71), (12, 72)], [(1, 79), (3, 78), (4, 79), (5, 81), (7, 81), (8, 78), (9, 76), (11, 76), (12, 78)], [(1, 79), (3, 77), (4, 79), (5, 78), (7, 81), (8, 77), (9, 75)], [(1, 79), (3, 79), (4, 69), (5, 74), (7, 72), (9, 74), (10, 72)], [(1, 79), (3, 77), (4, 81), (5, 82), (6, 77), (7, 81), (9, 81)]]",<music21.stream.Stream 0x1a34386d3a0>
9,"[[1, 5, 6, 7, 8, 9], [1, 5, 6, 7, 9], [1, 3, 5, 6, 7, 9], [1, 3, 5, 6, 7, 9, 11], [1, 3, 5, 6, 7, 9], [1, 3, 4, 5, 6, 7, 8, 9], [1, 3, 4, 5, 7, 8, 9, 10], [1, 3, 4, 5, 7, 8, 9, 10, 11, 12]]","[[67, 66, 67, 66, 67, 69], [67, 67, 65, 69, 74], [67, 69, 71, 69, 70, 69], [67, 71, 69, 66, 69, 81, 83], [67, 83, 83, 81, 79, 62], [67, 71, 76, 77, 76, 78, 76, 71], [67, 66, 67, 65, 64, 67, 69, 70], [67, 70, 74, 75, 74, 72, 72, 74, 77, 79]]","[[(1, 67), (5, 66), (6, 67), (7, 66), (8, 67), (9, 69)], [(1, 67), (5, 67), (6, 65), (7, 69), (9, 74)], [(1, 67), (3, 69), (5, 71), (6, 69), (7, 70), (9, 69)], [(1, 67), (3, 71), (5, 69), (6, 66), (7, 69), (9, 81), (11, 83)], [(1, 67), (3, 83), (5, 83), (6, 81), (7, 79), (9, 62)], [(1, 67), (3, 71), (4, 76), (5, 77), (6, 76), (7, 78), (8, 76), (9, 71)], [(1, 67), (3, 66), (4, 67), (5, 65), (7, 64), (8, 67), (9, 69), (10, 70)], [(1, 67), (3, 70), (4, 74), (5, 75), (7, 74), (8, 72), (9, 72), (10, 74), (11, 77), (12, 79)]]",<music21.stream.Stream 0x1a3438e8be0>
