id,beats,pitches,tuple_beat_and_pitch,midi
0,"[[1, 3, 4, 6], [2, 3, 4, 5, 7, 10], [1, 4, 5, 8, 9], [2, 4, 8, 10], [3, 4, 5, 9, 10, 11], [2, 4, 5, 6, 7, 8, 10], [2, 6, 7], [3, 5, 6, 7, 8, 9]]","[[62, 67, 65, 65], [72, 65, 62, 60, 71, 60], [72, 71, 64, 71, 60], [60, 64, 62, 71], [62, 65, 62, 67, 65, 62], [65, 64, 64, 64, 69, 60, 71], [64, 60, 72], [72, 62, 67, 71, 67, 60]]","[[(1, 62), (3, 67), (4, 65), (6, 65)], [(2, 72), (3, 65), (4, 62), (5, 60), (7, 71), (10, 60)], [(1, 72), (4, 71), (5, 64), (8, 71), (9, 60)], [(2, 60), (4, 64), (8, 62), (10, 71)], [(3, 62), (4, 65), (5, 62), (9, 67), (10, 65), (11, 62)], [(2, 65), (4, 64), (5, 64), (6, 64), (7, 69), (8, 60), (10, 71)], [(2, 64), (6, 60), (7, 72)], [(3, 72), (5, 62), (6, 67), (7, 71), (8, 67), (9, 60)]]",random_midis/random_song_0.mid
1,"[[2, 3, 4, 5, 6, 8, 9, 11], [2, 3, 4, 5, 6, 10, 11], [2, 4, 5, 6, 9], [1, 2, 4, 6, 10], [4, 5, 6, 8, 9, 10, 11], [2, 4, 7, 10], [2, 4, 5, 9, 10, 11], [1, 2, 3, 6, 7, 8, 11]]","[[67, 72, 60, 69, 64, 62, 62, 60], [67, 71, 67, 65, 62, 64, 67], [60, 71, 71, 67, 69], [65, 69, 69, 62, 72], [72, 71, 71, 64, 65, 60, 67], [65, 64, 60, 62], [71, 62, 64, 72, 67, 72], [67, 65, 72, 64, 60, 62, 67]]","[[(2, 67), (3, 72), (4, 60), (5, 69), (6, 64), (8, 62), (9, 62), (11, 60)], [(2, 67), (3, 71), (4, 67), (5, 65), (6, 62), (10, 64), (11, 67)], [(2, 60), (4, 71), (5, 71), (6, 67), (9, 69)], [(1, 65), (2, 69), (4, 69), (6, 62), (10, 72)], [(4, 72), (5, 71), (6, 71), (8, 64), (9, 65), (10, 60), (11, 67)], [(2, 65), (4, 64), (7, 60), (10, 62)], [(2, 71), (4, 62), (5, 64), (9, 72), (10, 67), (11, 72)], [(1, 67), (2, 65), (3, 72), (6, 64), (7, 60), (8, 62), (11, 67)]]",random_midis/random_song_1.mid
2,"[[1, 2, 3, 4, 6, 7, 8], [1, 3, 5, 6, 7, 9, 11], [1, 4, 6, 7, 8, 10, 11], [4, 6, 7, 8, 10], [3, 4, 6, 8, 11], [2, 3, 5, 6, 7, 10], [2, 3, 5, 7], [2, 4, 5, 6, 7, 9]]","[[67, 69, 60, 72, 72, 72, 60], [65, 64, 69, 71, 72, 69, 71], [60, 60, 72, 71, 67, 65, 71], [69, 72, 60, 64, 72], [64, 65, 72, 65, 71], [62, 64, 72, 65, 67, 62], [67, 62, 62, 69], [65, 69, 69, 60, 71, 69]]","[[(1, 67), (2, 69), (3, 60), (4, 72), (6, 72), (7, 72), (8, 60)], [(1, 65), (3, 64), (5, 69), (6, 71), (7, 72), (9, 69), (11, 71)], [(1, 60), (4, 60), (6, 72), (7, 71), (8, 67), (10, 65), (11, 71)], [(4, 69), (6, 72), (7, 60), (8, 64), (10, 72)], [(3, 64), (4, 65), (6, 72), (8, 65), (11, 71)], [(2, 62), (3, 64), (5, 72), (6, 65), (7, 67), (10, 62)], [(2, 67), (3, 62), (5, 62), (7, 69)], [(2, 65), (4, 69), (5, 69), (6, 60), (7, 71), (9, 69)]]",random_midis/random_song_2.mid
3,"[[1, 3, 4, 5, 6, 8, 9, 10, 11], [3, 4, 6, 7, 9], [3, 8, 9], [1, 2, 3, 5, 9, 10], [1, 2, 5, 6, 8, 10], [2, 4, 10], [3, 4, 7, 8, 11], [1, 4, 7, 8, 11]]","[[65, 60, 67, 65, 69, 72, 69, 71, 65], [62, 62, 72, 67, 64], [67, 72, 67], [67, 69, 64, 65, 62, 65], [65, 62, 65, 60, 62, 60], [72, 60, 69], [67, 67, 64, 67, 72], [65, 60, 72, 72, 62]]","[[(1, 65), (3, 60), (4, 67), (5, 65), (6, 69), (8, 72), (9, 69), (10, 71), (11, 65)], [(3, 62), (4, 62), (6, 72), (7, 67), (9, 64)], [(3, 67), (8, 72), (9, 67)], [(1, 67), (2, 69), (3, 64), (5, 65), (9, 62), (10, 65)], [(1, 65), (2, 62), (5, 65), (6, 60), (8, 62), (10, 60)], [(2, 72), (4, 60), (10, 69)], [(3, 67), (4, 67), (7, 64), (8, 67), (11, 72)], [(1, 65), (4, 60), (7, 72), (8, 72), (11, 62)]]",random_midis/random_song_3.mid
4,"[[4, 5, 6, 8, 9], [1, 2, 4, 6, 8, 10, 11], [1, 2, 3, 6, 7, 11], [2, 4, 5, 6, 8, 11], [1, 2, 6, 8, 9], [1, 2, 3, 4, 5, 8], [6, 7, 8, 9], [2, 3, 4, 5, 6, 8, 9, 10, 11]]","[[69, 60, 64, 65, 72], [67, 60, 62, 62, 64, 64, 60], [72, 62, 65, 71, 62, 64], [60, 67, 67, 64, 67, 65], [64, 62, 71, 67, 72], [65, 69, 65, 60, 62, 65], [64, 65, 72, 72], [72, 62, 65, 62, 67, 65, 67, 69, 72]]","[[(4, 69), (5, 60), (6, 64), (8, 65), (9, 72)], [(1, 67), (2, 60), (4, 62), (6, 62), (8, 64), (10, 64), (11, 60)], [(1, 72), (2, 62), (3, 65), (6, 71), (7, 62), (11, 64)], [(2, 60), (4, 67), (5, 67), (6, 64), (8, 67), (11, 65)], [(1, 64), (2, 62), (6, 71), (8, 67), (9, 72)], [(1, 65), (2, 69), (3, 65), (4, 60), (5, 62), (8, 65)], [(6, 64), (7, 65), (8, 72), (9, 72)], [(2, 72), (3, 62), (4, 65), (5, 62), (6, 67), (8, 65), (9, 67), (10, 69), (11, 72)]]",random_midis/random_song_4.mid
5,"[[1, 4, 5, 6, 8, 9, 11], [3, 4, 5, 7, 9, 11], [1, 2, 3, 5, 6, 8, 9, 11], [2, 3, 4, 6, 8, 11], [1, 2, 4, 6, 8, 9, 10, 11], [3, 7, 8, 10], [2, 3, 5, 6, 11], [3, 8, 9, 10]]","[[60, 62, 71, 72, 62, 67, 65], [67, 65, 65, 69, 69, 69], [69, 71, 62, 67, 72, 69, 69, 64], [60, 64, 65, 67, 72, 60], [72, 65, 69, 60, 71, 64, 65, 60], [72, 60, 69, 71], [60, 60, 72, 72, 67], [60, 62, 67, 72]]","[[(1, 60), (4, 62), (5, 71), (6, 72), (8, 62), (9, 67), (11, 65)], [(3, 67), (4, 65), (5, 65), (7, 69), (9, 69), (11, 69)], [(1, 69), (2, 71), (3, 62), (5, 67), (6, 72), (8, 69), (9, 69), (11, 64)], [(2, 60), (3, 64), (4, 65), (6, 67), (8, 72), (11, 60)], [(1, 72), (2, 65), (4, 69), (6, 60), (8, 71), (9, 64), (10, 65), (11, 60)], [(3, 72), (7, 60), (8, 69), (10, 71)], [(2, 60), (3, 60), (5, 72), (6, 72), (11, 67)], [(3, 60), (8, 62), (9, 67), (10, 72)]]",random_midis/random_song_5.mid
6,"[[1, 2, 3, 4, 5, 6, 7, 9, 10, 11], [3, 4, 5, 6, 9, 11], [1, 3, 4, 5, 6, 8], [2, 4, 5, 6, 8, 9], [1, 7], [1, 3, 6, 7, 10], [1, 7, 8, 9, 10], [1, 2, 3, 4, 8, 9, 11]]","[[72, 72, 72, 71, 71, 69, 67, 69, 60, 72], [72, 60, 67, 65, 65, 62], [71, 65, 67, 65, 69, 65], [60, 62, 60, 65, 71, 65], [67, 60], [62, 62, 69, 65, 62], [69, 71, 72, 71, 72], [69, 64, 64, 64, 65, 69, 71]]","[[(1, 72), (2, 72), (3, 72), (4, 71), (5, 71), (6, 69), (7, 67), (9, 69), (10, 60), (11, 72)], [(3, 72), (4, 60), (5, 67), (6, 65), (9, 65), (11, 62)], [(1, 71), (3, 65), (4, 67), (5, 65), (6, 69), (8, 65)], [(2, 60), (4, 62), (5, 60), (6, 65), (8, 71), (9, 65)], [(1, 67), (7, 60)], [(1, 62), (3, 62), (6, 69), (7, 65), (10, 62)], [(1, 69), (7, 71), (8, 72), (9, 71), (10, 72)], [(1, 69), (2, 64), (3, 64), (4, 64), (8, 65), (9, 69), (11, 71)]]",random_midis/random_song_6.mid
7,"[[2, 4, 5, 6, 8], [3, 4, 5, 6, 9, 10], [1, 3, 4, 8], [1, 2, 4, 6, 7], [1, 3, 6, 7, 8, 10, 11], [2, 3, 4, 5, 6, 9, 11], [1, 4, 6, 7, 8, 10], [2, 3, 8, 11]]","[[64, 64, 62, 69, 60], [62, 72, 72, 71, 60, 72], [69, 69, 64, 72], [62, 69, 65, 62, 65], [69, 62, 65, 72, 71, 60, 65], [71, 60, 64, 62, 64, 69, 64], [71, 65, 71, 60, 69, 65], [69, 72, 62, 60]]","[[(2, 64), (4, 64), (5, 62), (6, 69), (8, 60)], [(3, 62), (4, 72), (5, 72), (6, 71), (9, 60), (10, 72)], [(1, 69), (3, 69), (4, 64), (8, 72)], [(1, 62), (2, 69), (4, 65), (6, 62), (7, 65)], [(1, 69), (3, 62), (6, 65), (7, 72), (8, 71), (10, 60), (11, 65)], [(2, 71), (3, 60), (4, 64), (5, 62), (6, 64), (9, 69), (11, 64)], [(1, 71), (4, 65), (6, 71), (7, 60), (8, 69), (10, 65)], [(2, 69), (3, 72), (8, 62), (11, 60)]]",random_midis/random_song_7.mid
8,"[[1, 2, 4, 5, 6, 11], [2, 4, 5, 6, 11], [1, 4, 5, 9, 10, 11], [1, 2, 3, 4, 5, 6, 10, 11], [1, 2, 4, 5, 6, 8], [1, 7, 9, 10, 11], [2, 8, 9, 10, 11], [1, 5, 9]]","[[72, 64, 71, 69, 64, 72], [67, 69, 72, 72, 60], [67, 71, 72, 60, 64, 60], [71, 67, 62, 72, 65, 69, 67, 65], [60, 71, 62, 67, 69, 71], [64, 69, 69, 64, 67], [67, 71, 71, 69, 60], [69, 71, 72]]","[[(1, 72), (2, 64), (4, 71), (5, 69), (6, 64), (11, 72)], [(2, 67), (4, 69), (5, 72), (6, 72), (11, 60)], [(1, 67), (4, 71), (5, 72), (9, 60), (10, 64), (11, 60)], [(1, 71), (2, 67), (3, 62), (4, 72), (5, 65), (6, 69), (10, 67), (11, 65)], [(1, 60), (2, 71), (4, 62), (5, 67), (6, 69), (8, 71)], [(1, 64), (7, 69), (9, 69), (10, 64), (11, 67)], [(2, 67), (8, 71), (9, 71), (10, 69), (11, 60)], [(1, 69), (5, 71), (9, 72)]]",random_midis/random_song_8.mid
9,"[[1, 3, 7, 10, 11], [8, 11], [2, 4, 5, 6, 7, 8, 9, 10, 11], [1, 3, 4, 6], [1, 4, 5, 9], [1, 2, 5, 6, 7], [1, 2, 4, 5, 9], [1, 2, 3, 6, 8, 10, 11]]","[[64, 72, 71, 72, 69], [60, 65], [67, 60, 64, 72, 69, 65, 69, 69, 71], [72, 69, 72, 69], [60, 65, 65, 69], [69, 60, 67, 64, 69], [69, 62, 69, 64, 62], [62, 62, 62, 65, 71, 71, 65]]","[[(1, 64), (3, 72), (7, 71), (10, 72), (11, 69)], [(8, 60), (11, 65)], [(2, 67), (4, 60), (5, 64), (6, 72), (7, 69), (8, 65), (9, 69), (10, 69), (11, 71)], [(1, 72), (3, 69), (4, 72), (6, 69)], [(1, 60), (4, 65), (5, 65), (9, 69)], [(1, 69), (2, 60), (5, 67), (6, 64), (7, 69)], [(1, 69), (2, 62), (4, 69), (5, 64), (9, 62)], [(1, 62), (2, 62), (3, 62), (6, 65), (8, 71), (10, 71), (11, 65)]]",random_midis/random_song_9.mid
