piece,beats,pitches,beat_pitch
./abc/_Polonäs_sexdregasamlingen_del_2_nr_43_955a6b.abc,"[[1, 5, 7, 9, 11], [1, 3, 5, 7, 9, 11], [1, 5, 7, 9, 11], [1, 3, 4, 5], [1, 3, 5, 7, 9, 11], [1, 3, 5, 7, 9, 11], [1, 3, 5, 7, 9, 11], [1, 5], [1, 3, 5, 7, 9], [1, 3, 5, 7, 9], [1, 5, 7, 9, 11], [1, 3, 4, 5]]","[[74, 69, 67, 66, 64], [62, 79, 78, 76, 78, 76], [74, 69, 67, 66, 64], [62, 74, 73, 74], [78, 76, 74, 76, 78, 74], [79, 78, 76, 78, 79, 76], [78, 76, 74, 81, 79, 78], [76, 69], [78, 76, 74, 73, 71], [79, 78, 76, 74, 73], [74, 69, 67, 66, 64], [62, 74, 73, 74]]","[[(1, 74), (5, 69), (7, 67), (9, 66), (11, 64)], [(1, 62), (3, 79), (5, 78), (7, 76), (9, 78), (11, 76)], [(1, 74), (5, 69), (7, 67), (9, 66), (11, 64)], [(1, 62), (3, 74), (4, 73), (5, 74)], [(1, 78), (3, 76), (5, 74), (7, 76), (9, 78), (11, 74)], [(1, 79), (3, 78), (5, 76), (7, 78), (9, 79), (11, 76)], [(1, 78), (3, 76), (5, 74), (7, 81), (9, 79), (11, 78)], [(1, 76), (5, 69)], [(1, 78), (3, 76), (5, 74), (7, 73), (9, 71)], [(1, 79), (3, 78), (5, 76), (7, 74), (9, 73)], [(1, 74), (5, 69), (7, 67), (9, 66), (11, 64)], [(1, 62), (3, 74), (4, 73), (5, 74)]]"
./abc/Pollonesse_ur_Andreas_Dahlgrens_notbok_no_10_d81ffb.abc,"[[1, 3, 5, 7, 9, 11], [1, 2, 3, 4, 5], [1, 1, 3, 4, 5, 7, 9, 11], [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12], [1, 3, 5, 7, 9, 11], [1, 2, 3, 4, 5], [1, 1, 3, 5, 7, 9, 11], [1, 2, 3, 4, 5, 9], [1, 3, 5, 7, 9], [1, 3, 4, 5, 7, 8, 9], [1, 3, 5, 7, 8, 9], [1, 3, 4, 5, 7, 8, 9], [1, 3, 4, 5, 7, 8, 9, 11], [1, 2, 3, 4, 5, 9]]","[[67, 79, 79, 78, 79, 76], [76, 78, 79, 76, 74], [74, 71, 69, 71, 72, 71, 69, 67], [66, 67, 66, 64, 62, 62, 62, 60, 59, 60, 59, 57], [55, 79, 79, 78, 79, 76], [76, 78, 79, 76, 74], [72, 71, 74, 76, 78, 79, 74], [71, 69, 67, 66, 67, 55], [67, 71, 71, 69, 69], [69, 71, 72, 69, 71, 72, 71], [67, 71, 72, 74, 71, 72], [72, 74, 76, 72, 74, 76, 74], [74, 76, 78, 79, 78, 79, 81, 72], [71, 69, 67, 66, 67, 55]]","[[(1, 67), (3, 79), (5, 79), (7, 78), (9, 79), (11, 76)], [(1, 76), (2, 78), (3, 79), (4, 76), (5, 74)], [(1, 74), (1, 71), (3, 69), (4, 71), (5, 72), (7, 71), (9, 69), (11, 67)], [(1, 66), (2, 67), (3, 66), (4, 64), (5, 62), (6, 62), (7, 62), (8, 60), (9, 59), (10, 60), (11, 59), (12, 57)], [(1, 55), (3, 79), (5, 79), (7, 78), (9, 79), (11, 76)], [(1, 76), (2, 78), (3, 79), (4, 76), (5, 74)], [(1, 72), (1, 71), (3, 74), (5, 76), (7, 78), (9, 79), (11, 74)], [(1, 71), (2, 69), (3, 67), (4, 66), (5, 67), (9, 55)], [(1, 67), (3, 71), (5, 71), (7, 69), (9, 69)], [(1, 69), (3, 71), (4, 72), (5, 69), (7, 71), (8, 72), (9, 71)], [(1, 67), (3, 71), (5, 72), (7, 74), (8, 71), (9, 72)], [(1, 72), (3, 74), (4, 76), (5, 72), (7, 74), (8, 76), (9, 74)], [(1, 74), (3, 76), (4, 78), (5, 79), (7, 78), (8, 79), (9, 81), (11, 72)], [(1, 71), (2, 69), (3, 67), (4, 66), (5, 67), (9, 55)]]"
./abc/Polska_efter_Anders_Gustaf_Andersson_0ac736.abc,"[[1, 3, 5, 7, 9, 11], [1, 3, 4, 5, 9], [1, 1, 1, 3, 5, 7, 9, 11], [1, 3, 5, 6, 7, 8, 9], [1, 3, 5, 7, 9, 11], [1, 3, 4, 5, 7, 7, 7, 8, 9, 11], [1, 3, 5, 7, 9, 11], [1, 3, 4, 5, 7, 7, 7, 8, 9, 11], [1, 2, 3, 4, 5, 7, 8, 9, 11, 12], [1, 2, 3, 4, 5, 7, 8, 9]]","[[81, 76, 77, 76, 77, 79], [81, 77, 81, 79, 76], [77, 79, 77, 76, 74, 73, 74, 76], [77, 76, 72, 74, 72, 71, 69], [69, 62, 65, 69, 72, 71], [67, 64, 67, 65, 67, 65, 62, 65, 64, 64], [69, 62, 65, 69, 72, 71], [67, 64, 67, 65, 67, 65, 62, 65, 64, 64], [62, 64, 66, 67, 69, 71, 73, 74, 76, 78], [79, 78, 76, 74, 73, 76, 72, 74]]","[[(1, 81), (3, 76), (5, 77), (7, 76), (9, 77), (11, 79)], [(1, 81), (3, 77), (4, 81), (5, 79), (9, 76)], [(1, 77), (1, 79), (1, 77), (3, 76), (5, 74), (7, 73), (9, 74), (11, 76)], [(1, 77), (3, 76), (5, 72), (6, 74), (7, 72), (8, 71), (9, 69)], [(1, 69), (3, 62), (5, 65), (7, 69), (9, 72), (11, 71)], [(1, 67), (3, 64), (4, 67), (5, 65), (7, 67), (7, 65), (7, 62), (8, 65), (9, 64), (11, 64)], [(1, 69), (3, 62), (5, 65), (7, 69), (9, 72), (11, 71)], [(1, 67), (3, 64), (4, 67), (5, 65), (7, 67), (7, 65), (7, 62), (8, 65), (9, 64), (11, 64)], [(1, 62), (2, 64), (3, 66), (4, 67), (5, 69), (7, 71), (8, 73), (9, 74), (11, 76), (12, 78)], [(1, 79), (2, 78), (3, 76), (4, 74), (5, 73), (7, 76), (8, 72), (9, 74)]]"
./abc/Polonäs_9c99ae.abc,"[[1, 2, 3, 4, 5, 7, 9, 10, 11, 12], [1, 4, 5, 6, 7, 8, 9], [1, 3, 5, 7, 9, 11], [1, 2, 3, 4, 5, 9], [1, 2, 3, 4, 5, 8, 9, 10, 11, 12], [1, 4, 5, 6, 7, 8, 9], [1, 3, 5, 7, 9, 11], [1, 3, 4, 5, 9], [1, 3, 4, 5, 7, 9, 11], [1, 3, 4, 5, 7, 8, 9], [1, 3, 5, 7, 9, 11], [1, 3, 4, 5, 6, 7, 8, 9], [1, 2, 3, 4, 5, 8, 9, 10, 11, 12], [1, 4, 5, 6, 7, 8, 9], [1, 3, 5, 7, 9, 11], [1, 3, 4, 5, 9]]","[[74, 72, 70, 69, 67, 62, 60, 58, 57, 55], [67, 69, 70, 69, 70, 72, 74], [70, 72, 69, 70, 67, 74], [75, 74, 72, 70, 70, 69], [74, 72, 70, 69, 67, 62, 60, 58, 57, 55], [67, 69, 70, 69, 70, 72, 74], [70, 72, 69, 70, 67, 70], [69, 67, 66, 67, 55], [74, 74, 75, 77, 74, 70, 65], [70, 70, 74, 72, 72, 75, 74], [70, 79, 69, 77, 67, 70], [70, 69, 67, 66, 67, 69, 65, 62], [74, 72, 70, 69, 67, 62, 60, 58, 57, 55], [67, 69, 70, 69, 70, 72, 74], [70, 72, 69, 70, 67, 70], [69, 67, 66, 67, 55]]","[[(1, 74), (2, 72), (3, 70), (4, 69), (5, 67), (7, 62), (9, 60), (10, 58), (11, 57), (12, 55)], [(1, 67), (4, 69), (5, 70), (6, 69), (7, 70), (8, 72), (9, 74)], [(1, 70), (3, 72), (5, 69), (7, 70), (9, 67), (11, 74)], [(1, 75), (2, 74), (3, 72), (4, 70), (5, 70), (9, 69)], [(1, 74), (2, 72), (3, 70), (4, 69), (5, 67), (8, 62), (9, 60), (10, 58), (11, 57), (12, 55)], [(1, 67), (4, 69), (5, 70), (6, 69), (7, 70), (8, 72), (9, 74)], [(1, 70), (3, 72), (5, 69), (7, 70), (9, 67), (11, 70)], [(1, 69), (3, 67), (4, 66), (5, 67), (9, 55)], [(1, 74), (3, 74), (4, 75), (5, 77), (7, 74), (9, 70), (11, 65)], [(1, 70), (3, 70), (4, 74), (5, 72), (7, 72), (8, 75), (9, 74)], [(1, 70), (3, 79), (5, 69), (7, 77), (9, 67), (11, 70)], [(1, 70), (3, 69), (4, 67), (5, 66), (6, 67), (7, 69), (8, 65), (9, 62)], [(1, 74), (2, 72), (3, 70), (4, 69), (5, 67), (8, 62), (9, 60), (10, 58), (11, 57), (12, 55)], [(1, 67), (4, 69), (5, 70), (6, 69), (7, 70), (8, 72), (9, 74)], [(1, 70), (3, 72), (5, 69), (7, 70), (9, 67), (11, 70)], [(1, 69), (3, 67), (4, 66), (5, 67), (9, 55)]]"
./abc/_Polonäs_sexdregasamlingen_del_2_nr_76_509d55.abc,"[[1, 3, 4, 5, 7, 9], [1, 3, 4, 5, 7, 8, 9], [1, 3, 4, 5, 7, 8, 9], [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12], [1, 3, 4, 5, 9], [1, 3, 4, 5, 7, 8, 9], [1, 3, 4, 5, 7, 8, 9], [1, 3, 4, 5, 7, 8, 9], [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12], [1, 2, 3, 4, 5, 9], [1, 3, 4, 5, 7, 8, 9, 11, 12], [1, 3, 4, 5, 7, 8, 9], [1, 3, 4, 5, 7, 8, 9, 11, 12], [1, 3, 4, 5], [1, 3, 4, 5, 9], [1, 3, 4, 5, 9], [1, 3, 4, 5, 7, 9, 11], [1, 2, 3, 4, 5, 9]]","[[79, 78, 76, 74, 72, 71], [67, 67, 71, 69, 69, 72, 71], [67, 67, 71, 69, 69, 72, 71], [79, 78, 76, 74, 76, 74, 72, 71, 72, 71, 69, 67], [66, 66, 67, 69, 62], [79, 78, 76, 74, 74, 72, 71], [67, 67, 71, 69, 69, 72, 71], [67, 67, 71, 69, 69, 72, 71], [79, 78, 76, 74, 76, 74, 72, 71, 72, 71, 69, 67], [66, 67, 69, 66, 67, 67], [67, 67, 71, 69, 69, 72, 71, 71, 74], [72, 71, 72, 69, 67, 69, 71], [67, 67, 71, 69, 69, 72, 71, 71, 74], [72, 71, 69, 71], [74, 72, 71, 76, 76], [72, 71, 69, 74, 74], [71, 69, 67, 72, 71, 69, 67], [66, 67, 69, 66, 67, 55]]","[[(1, 79), (3, 78), (4, 76), (5, 74), (7, 72), (9, 71)], [(1, 67), (3, 67), (4, 71), (5, 69), (7, 69), (8, 72), (9, 71)], [(1, 67), (3, 67), (4, 71), (5, 69), (7, 69), (8, 72), (9, 71)], [(1, 79), (2, 78), (3, 76), (4, 74), (5, 76), (6, 74), (7, 72), (8, 71), (9, 72), (10, 71), (11, 69), (12, 67)], [(1, 66), (3, 66), (4, 67), (5, 69), (9, 62)], [(1, 79), (3, 78), (4, 76), (5, 74), (7, 74), (8, 72), (9, 71)], [(1, 67), (3, 67), (4, 71), (5, 69), (7, 69), (8, 72), (9, 71)], [(1, 67), (3, 67), (4, 71), (5, 69), (7, 69), (8, 72), (9, 71)], [(1, 79), (2, 78), (3, 76), (4, 74), (5, 76), (6, 74), (7, 72), (8, 71), (9, 72), (10, 71), (11, 69), (12, 67)], [(1, 66), (2, 67), (3, 69), (4, 66), (5, 67), (9, 67)], [(1, 67), (3, 67), (4, 71), (5, 69), (7, 69), (8, 72), (9, 71), (11, 71), (12, 74)], [(1, 72), (3, 71), (4, 72), (5, 69), (7, 67), (8, 69), (9, 71)], [(1, 67), (3, 67), (4, 71), (5, 69), (7, 69), (8, 72), (9, 71), (11, 71), (12, 74)], [(1, 72), (3, 71), (4, 69), (5, 71)], [(1, 74), (3, 72), (4, 71), (5, 76), (9, 76)], [(1, 72), (3, 71), (4, 69), (5, 74), (9, 74)], [(1, 71), (3, 69), (4, 67), (5, 72), (7, 71), (9, 69), (11, 67)], [(1, 66), (2, 67), (3, 69), (4, 66), (5, 67), (9, 55)]]"
./abc/Pollonesse_183209_d6a6be.abc,"[[1, 3, 5, 6, 7, 8, 9, 10, 11, 12], [1, 2, 3, 4, 5, 7, 9, 10, 11, 12], [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12], [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12], [1, 2, 3, 4, 5, 9, 11], [1, 3, 5, 7, 8, 9, 10, 11, 12], [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12], [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12], [1, 3, 5, 6, 7, 8, 9, 11], [1, 2, 3, 4, 5, 9]]","[[69, 74, 74, 69, 66, 69, 74, 73, 74, 78], [76, 74, 74, 73, 71, 73, 76, 74, 76, 78], [79, 78, 83, 81, 79, 78, 76, 74, 73, 74, 76, 78], [79, 76, 73, 76, 74, 73, 74, 69, 67, 66, 64, 66], [81, 79, 76, 73, 73, 74, 69], [81, 81, 78, 74, 78, 81, 79, 83, 81], [81, 79, 76, 73, 69, 73, 76, 79, 79, 78, 81, 79], [79, 78, 74, 78, 78, 76, 73, 76, 76, 74, 71, 74], [74, 73, 69, 71, 67, 71, 69, 69], [81, 79, 76, 73, 73, 74]]","[[(1, 69), (3, 74), (5, 74), (6, 69), (7, 66), (8, 69), (9, 74), (10, 73), (11, 74), (12, 78)], [(1, 76), (2, 74), (3, 74), (4, 73), (5, 71), (7, 73), (9, 76), (10, 74), (11, 76), (12, 78)], [(1, 79), (2, 78), (3, 83), (4, 81), (5, 79), (6, 78), (7, 76), (8, 74), (9, 73), (10, 74), (11, 76), (12, 78)], [(1, 79), (2, 76), (3, 73), (4, 76), (5, 74), (6, 73), (7, 74), (8, 69), (9, 67), (10, 66), (11, 64), (12, 66)], [(1, 81), (2, 79), (3, 76), (4, 73), (5, 73), (9, 74), (11, 69)], [(1, 81), (3, 81), (5, 78), (7, 74), (8, 78), (9, 81), (10, 79), (11, 83), (12, 81)], [(1, 81), (2, 79), (3, 76), (4, 73), (5, 69), (6, 73), (7, 76), (8, 79), (9, 79), (10, 78), (11, 81), (12, 79)], [(1, 79), (2, 78), (3, 74), (4, 78), (5, 78), (6, 76), (7, 73), (8, 76), (9, 76), (10, 74), (11, 71), (12, 74)], [(1, 74), (3, 73), (5, 69), (6, 71), (7, 67), (8, 71), (9, 69), (11, 69)], [(1, 81), (2, 79), (3, 76), (4, 73), (5, 73), (9, 74)]]"
./abc/Mikaelidansen_a7e723.abc,"[[1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 12], [1, 2, 3, 4, 5, 7, 9, 12], [1, 4, 5, 6, 7, 8, 9, 11, 12], [1, 2, 3, 4, 5, 7, 9], [1, 3, 5, 7, 8, 9, 11], [1, 3, 4, 5, 6, 7, 8, 9], [1, 3, 4, 5, 9], [1, 4, 5, 7, 9, 11], [1, 2, 3, 4, 5, 7, 8, 9, 10, 11, 12], [1, 3, 5]]","[[76, 77, 76, 74, 72, 71, 72, 71, 69, 69, 72], [71, 69, 71, 69, 68, 69, 69, 64], [69, 71, 72, 71, 72, 74, 76, 76, 78], [79, 78, 79, 76, 75, 76, 76], [69, 81, 81, 81, 80, 81, 81], [78, 77, 79, 77, 79, 77, 76, 74], [74, 76, 78, 79, 79], [76, 77, 76, 72, 69, 71], [72, 71, 72, 74, 76, 76, 74, 72, 71, 72, 69], [68, 69, 69]]","[[(1, 76), (2, 77), (3, 76), (4, 74), (5, 72), (6, 71), (7, 72), (8, 71), (9, 69), (11, 69), (12, 72)], [(1, 71), (2, 69), (3, 71), (4, 69), (5, 68), (7, 69), (9, 69), (12, 64)], [(1, 69), (4, 71), (5, 72), (6, 71), (7, 72), (8, 74), (9, 76), (11, 76), (12, 78)], [(1, 79), (2, 78), (3, 79), (4, 76), (5, 75), (7, 76), (9, 76)], [(1, 69), (3, 81), (5, 81), (7, 81), (8, 80), (9, 81), (11, 81)], [(1, 78), (3, 77), (4, 79), (5, 77), (6, 79), (7, 77), (8, 76), (9, 74)], [(1, 74), (3, 76), (4, 78), (5, 79), (9, 79)], [(1, 76), (4, 77), (5, 76), (7, 72), (9, 69), (11, 71)], [(1, 72), (2, 71), (3, 72), (4, 74), (5, 76), (7, 76), (8, 74), (9, 72), (10, 71), (11, 72), (12, 69)], [(1, 68), (3, 69), (5, 69)]]"
./abc/_Polonäs_sexdregasamlingen_del_2_nr_66_67364b.abc,"[[1, 2, 3, 4, 5, 7, 8, 9, 11, 12], [1, 3, 4, 5, 9, 10, 11, 12], [1, 2, 3, 4, 5, 7, 9, 11], [1, 3, 4, 5, 9], [1, 5, 7, 9], [1, 3, 4, 5, 7, 8, 9], [1, 5, 7, 9], [1, 3, 4, 5, 7, 8, 9], [1, 2, 3, 4, 5, 7, 9, 11, 12], [1, 2, 3, 4, 5, 9]]","[[74, 76, 78, 79, 81, 81, 83, 79, 79, 81], [78, 78, 79, 76, 74, 73, 71, 69], [71, 73, 71, 69, 67, 66, 64, 74], [73, 71, 69, 74, 62], [66, 67, 71, 69], [67, 66, 64, 66, 64, 62, 69], [66, 67, 71, 69], [67, 66, 64, 66, 64, 62, 69], [69, 71, 73, 74, 76, 79, 78, 76, 74], [69, 71, 73, 69, 74, 62]]","[[(1, 74), (2, 76), (3, 78), (4, 79), (5, 81), (7, 81), (8, 83), (9, 79), (11, 79), (12, 81)], [(1, 78), (3, 78), (4, 79), (5, 76), (9, 74), (10, 73), (11, 71), (12, 69)], [(1, 71), (2, 73), (3, 71), (4, 69), (5, 67), (7, 66), (9, 64), (11, 74)], [(1, 73), (3, 71), (4, 69), (5, 74), (9, 62)], [(1, 66), (5, 67), (7, 71), (9, 69)], [(1, 67), (3, 66), (4, 64), (5, 66), (7, 64), (8, 62), (9, 69)], [(1, 66), (5, 67), (7, 71), (9, 69)], [(1, 67), (3, 66), (4, 64), (5, 66), (7, 64), (8, 62), (9, 69)], [(1, 69), (2, 71), (3, 73), (4, 74), (5, 76), (7, 79), (9, 78), (11, 76), (12, 74)], [(1, 69), (2, 71), (3, 73), (4, 69), (5, 74), (9, 62)]]"
./abc/Pollonesse_ur_Andreas_Dahlgrens_notbok_nr_25_0b522c.abc,"[[1, 5, 9], [1, 3, 4, 5, 7, 8, 9, 11], [1, 3, 4, 5, 7, 9, 11], [1, 2, 3, 4, 5, 9], [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12], [1, 3, 4, 5, 7, 8, 9], [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12], [1, 3, 4, 5, 7, 8, 9], [1, 5, 8, 9, 10, 11, 12], [1, 5, 8, 9, 10, 11, 12], [1, 3, 4, 5, 7, 9, 11], [1, 2, 3, 4, 5, 9]]","[[70, 69, 67], [62, 65, 67, 69, 72, 69, 70, 67], [67, 75, 74, 72, 70, 69, 67], [70, 69, 67, 66, 67, 55], [74, 70, 67, 70, 74, 70, 67, 70, 74, 70, 67, 70], [72, 72, 70, 72, 72, 70, 72], [72, 69, 65, 69, 72, 69, 65, 69, 72, 69, 65, 69], [70, 70, 69, 70, 70, 69, 70], [74, 79, 77, 75, 74, 72, 70], [69, 77, 75, 74, 72, 70, 69], [74, 79, 77, 79, 70, 69, 67], [70, 69, 67, 66, 67, 55]]","[[(1, 70), (5, 69), (9, 67)], [(1, 62), (3, 65), (4, 67), (5, 69), (7, 72), (8, 69), (9, 70), (11, 67)], [(1, 67), (3, 75), (4, 74), (5, 72), (7, 70), (9, 69), (11, 67)], [(1, 70), (2, 69), (3, 67), (4, 66), (5, 67), (9, 55)], [(1, 74), (2, 70), (3, 67), (4, 70), (5, 74), (6, 70), (7, 67), (8, 70), (9, 74), (10, 70), (11, 67), (12, 70)], [(1, 72), (3, 72), (4, 70), (5, 72), (7, 72), (8, 70), (9, 72)], [(1, 72), (2, 69), (3, 65), (4, 69), (5, 72), (6, 69), (7, 65), (8, 69), (9, 72), (10, 69), (11, 65), (12, 69)], [(1, 70), (3, 70), (4, 69), (5, 70), (7, 70), (8, 69), (9, 70)], [(1, 74), (5, 79), (8, 77), (9, 75), (10, 74), (11, 72), (12, 70)], [(1, 69), (5, 77), (8, 75), (9, 74), (10, 72), (11, 70), (12, 69)], [(1, 74), (3, 79), (4, 77), (5, 79), (7, 70), (9, 69), (11, 67)], [(1, 70), (2, 69), (3, 67), (4, 66), (5, 67), (9, 55)]]"
./abc/_Polonäs_ur_Andreas_Dahlgrens_notbok_nr_65_fe43f3.abc,"[[1, 3, 5, 9, 11], [1, 3, 5, 7, 9, 11], [1, 3, 5, 9, 11], [1, 3, 5], [1, 3, 5, 7, 9, 11], [1, 3, 4, 5, 7, 8, 9], [1, 3, 5, 7, 9, 11], [1, 3, 4, 5, 7, 8, 9], [1, 3, 5, 7, 9, 11], [1, 3, 5, 9], [1, 2, 3, 5, 6, 7, 9, 10, 11], [1, 5]]","[[74, 76, 77, 76, 74], [73, 74, 76, 74, 72, 69], [74, 76, 77, 76, 74], [73, 74, 76], [77, 79, 81, 79, 81, 76], [76, 77, 76, 74, 76, 74, 73], [74, 76, 76, 77, 76, 74], [73, 71, 69, 70, 69, 68, 69], [69, 77, 76, 74, 73, 71], [69, 68, 69, 79], [79, 77, 76, 77, 76, 74, 76, 74, 73], [74, 62]]","[[(1, 74), (3, 76), (5, 77), (9, 76), (11, 74)], [(1, 73), (3, 74), (5, 76), (7, 74), (9, 72), (11, 69)], [(1, 74), (3, 76), (5, 77), (9, 76), (11, 74)], [(1, 73), (3, 74), (5, 76)], [(1, 77), (3, 79), (5, 81), (7, 79), (9, 81), (11, 76)], [(1, 76), (3, 77), (4, 76), (5, 74), (7, 76), (8, 74), (9, 73)], [(1, 74), (3, 76), (5, 76), (7, 77), (9, 76), (11, 74)], [(1, 73), (3, 71), (4, 69), (5, 70), (7, 69), (8, 68), (9, 69)], [(1, 69), (3, 77), (5, 76), (7, 74), (9, 73), (11, 71)], [(1, 69), (3, 68), (5, 69), (9, 79)], [(1, 79), (2, 77), (3, 76), (5, 77), (6, 76), (7, 74), (9, 76), (10, 74), (11, 73)], [(1, 74), (5, 62)]]"
